 	ora	io	sto	studiando	di	di	imparare	di	diventare	maestra	</S>
à	0.691914748154	0.0160823707068	0.00593307012	0.0024963815818	0.002963167138	0.0022896882017	0.0029094599987	0.00972138372451	0.00754606062674	0.0864916656869	0.171652012886
r	0.813343574	0.148271474598	0.0010791059856	0.000171364669378	0.00218893542654	0.00206883390591	0.0247611692513	0.000787556800802	0.00729934728977	8.76944003687e-07	2.77394525863e-05
t	0.2006889348	0.53656775	0.07179147894	0.113081921323	0.041819917492	0.0153849993806	0.00121825514314	0.00246581569404	0.0109221855831	0.0016283135794	0.00443045880794
e	0.406035454386	0.41048741112	0.1200240562	0.0160032124076	0.0237981875902	0.00395435098361	0.000121883516114	0.000989896849781	0.00113898681959	0.000136365775434	0.0173101807578
n	0.29116485106	0.5114535398	0.16107755488	0.0313081626012	0.00379158881794	0.000883172725003	2.7593362765e-05	4.43020591071e-05	0.000169447078688	8.66509525588e-06	7.10948076407e-05
a	0.20509819774	0.2149652312	0.2160370054	0.120526613452	0.115628041131	0.0953537259964	0.0171660627813	0.00988419176952	0.00188206860793	0.000232995862149	0.00322587885419
i	0.1568848396	0.553723696	0.2281971428	0.05083244942	0.0081802928314	0.00181813076648	0.000103672975868	6.05776490604e-05	7.78770307859e-05	7.03149945975e-06	0.000114300969978
v	0.01783272996	0.716077482	0.06915313082	0.0562434934	0.087267086374	0.0253714399474	0.0106906137151	0.00520055356869	0.0101765066898	0.000429722542352	0.00155725642757
ò	0.04020014762	0.3067757168	0.25095408662	0.07740979266	0.0473699136	0.03770538861	0.0380573035737	0.0384997447438	0.0290265142695	0.0452599962292	0.0887413752533
s	0.012285710704	0.1597342218	0.691965794	0.101012806	0.024034942456	0.0083405521126	0.00190376626116	0.000444119088006	0.000137343083528	4.29018036291e-05	9.78120499444e-05
t	0.004716755014	0.06891278668	0.4558163576	0.1627946526	0.12625126146	0.0633199881212	0.034742035039	0.0270364194143	0.0123279961202	0.0105400614312	0.0335416457439
e	0.0343641337682	0.042343830116	0.4751618768	0.143241052	0.0944019038	0.03685277319	0.0512593831145	0.0188680768319	0.00430288867452	0.00200721278393	0.0971969077923
s	0.00363192333524	0.077229276236	0.204955263	0.598469264	0.0764272386	0.031119959372	0.0018695407594	0.00211322344154	0.00110356840517	0.000310360302454	0.0027703824564
t	0.002277321476	0.01792739176	0.291460701	0.3271904708	0.1243990376	0.07988192384	0.0397231937688	0.042229639033	0.0086259458919	0.0365371033796	0.0297472275245
u	0.016910053	0.01025180706	0.208705605	0.4355895258	0.0904155322	0.05371930782	0.08644542128	0.0483515616948	0.0181935530797	0.00505104800715	0.0263665560577
d	0.00115161820053	0.0201189983645	0.109488479712	0.579323766	0.196947912	0.0619109218	0.003543344462	0.0062101853228	0.00193513234684	0.0008860837564	0.0184835272841
i	0.0047136062694	0.00838773068	0.0561897774	0.34125951686	0.190038002	0.0887646162	0.0721243814	0.06437207716	0.0177111116842	0.129503165634	0.026936016344
è	0.00107650341069	0.00409959064028	0.03826277856	0.511696632	0.310226264	0.1081242838	0.01580062834	0.004444035276	0.0028377572926	0.00117620340408	0.00225530827119
o	0.000931184412106	0.0235659252408	0.06406413092	0.3045668106	0.300270662	0.122175497	0.03341424874	0.02194274322	0.123299673783	0.00480541196961	0.00096367369294
n	0.00033089079522	0.0193614274302	0.019505773966	0.175282718	0.310651934	0.270048004	0.1061861091	0.04794688858	0.02914760933	0.0186609083755	0.00287771555528
a	0.00256630582	0.0047827507572	0.0244922321	0.0820080364	0.2336583036	0.2196958564	0.11179580628	0.0620565844	0.12931839604	0.031451337455	0.098174393392
n	0.000607568887453	0.0067605076754	0.0137624749488	0.194601941	0.224187612	0.380656889	0.11363352882	0.0441783586	0.01742525152	0.002887578352	0.0012983024982
a	0.00131892745174	0.00130271848	0.0060682839	0.03941944342	0.17925827748	0.2441788428	0.11004575182	0.10336603648	0.08040028268	0.112621163977	0.122020293772
m	0.000299311423599	0.002911730517	0.0105379356774	0.17325098194	0.175723522	0.38677236	0.13499335524	0.0742902864	0.0313621828	0.007604389268	0.00225391809
à	0.01199697012	0.007854868284	0.0071664519	0.0307403975	0.1502151554	0.2214282348	0.21745429	0.1482578266	0.0807486852	0.104713819766	0.019423294638
