 	che	consuma	poco	benzina	</S>
n	0.516150664096	0.0242582833824	0.09849137177	0.0392894974732	0.321810167862
a	0.4300277874	0.38039033312	0.145740856361	0.00628899802369	0.0375519892884
k	0.2520524338	0.63032642	0.11038252432	0.00042420909872	0.00681444962898
o	0.02597149282	0.50256172	0.29805729576	0.118750525568	0.054658970864
n	0.0932792188	0.865083578	0.03252595808	0.0002541625784	0.00885707897536
s	0.026150404872	0.5849834844	0.1066616406	0.237488991494	0.044715474444
u	0.1996504974	0.70641727	0.064362450594	0.00495212053473	0.024617659922
m	0.113007256065	0.675827618	0.19275081458	0.00334172556	0.0150725740188
è	0.02424828342	0.528414426	0.23079540328	0.19218703694	0.024354880846
t	0.016087649628	0.715521606	0.21144874908	0.0253883397001	0.0315536323448
s	0.0842162031	0.3515402996	0.2344941378	0.2643369264	0.06541243634
i	0.0602828748	0.364658172	0.26425629552	0.044464011797	0.26633864578
a	0.0743276745366	0.27193682474	0.5193259466	0.0218301342	0.1125794356
l	0.0091722572901	0.023277314232	0.745300226	0.142012002868	0.0802382069132
ì	0.012685577814	0.03980034318	0.09491839	0.799748314	0.0528473568
o	0.0089512132144	0.09196275624	0.346839476	0.42303867084	0.12920788214
b	0.00210750620205	0.0030734521138	0.2875548136	0.51101284228	0.196251374668
e	0.0016728201432	0.196611678576	0.03142983392	0.74607647822	0.0242092011881
n	0.00111673509341	0.0174784125466	0.24321654044	0.2880953594	0.450092948
z	0.00151958860706	0.002948607026	0.0060682606	0.960768102	0.02869548
ì	0.12026448928	0.06253073988	0.0977204532	0.439126075	0.2803582232
n	0.0060195814719	0.008167679028	0.06257161344	0.5937441	0.329497058
a	0.0184155285859	0.17795770248	0.03341067446	0.5567497784	0.2134663508
</S>	0.0094745615359	0.0260290729806	0.01415065908	0.0629418938	0.887403862
