 	non	sono	andati	</S>
e	0.650707914853	0.099143413924	0.02590217804	0.22424648657
n	0.644860644	0.2710809638	0.077528928854	0.00652948530016
è	0.08546603398	0.48550365	0.2388082286	0.190222090132
c	0.07833820188	0.905045364	0.01074478176	0.0058716541878
h	0.143622143706	0.49002224336	0.3608885746	0.005467059486
u	0.24387968094	0.354955458	0.22138158529	0.179783223159
n	0.184556947913	0.47243982	0.152169329	0.1908339036
e	0.0283463454746	0.366119097	0.53469052	0.070844045
p	0.0617885301779	0.3084435666	0.2959387322	0.3338291468
a	0.000725655621	0.065976110344	0.834476574	0.0988217094
m	0.0460083244846	0.10513873796	0.3442935694	0.504559368
è	0.006377078258	0.03058444413	0.773067048	0.18997141866
n	0.0087422609743	0.025864306007	0.678460604	0.2869328308
a	0.020842564374	0.02419732708	0.731560972	0.2233991644
</S>	0.0125655998405	0.0322433753929	0.0632366347	0.891954378
