 	non	mangiare	la	sera	</S>
m	0.399792459111	0.123945284653	0.033374046378	0.00830380958	0.434584392407
i	0.483918077	0.2939104868	0.16899601554	0.0502144483934	0.002960989276
f	0.1246984684	0.562183838	0.2917908806	0.004908333285	0.0164184655136
a	0.00951212839	0.35673838188	0.363398989046	0.221811032594	0.048539486064
i	0.092419587948	0.57046024	0.2988021232	0.00592595368	0.0323921142706
o	0.01338738359	0.2138800304	0.390075832	0.2703775042	0.11227924458
v	0.0180845202092	0.1352082492	0.4084228856	0.4040367664	0.034247544223
r	0.008487863528	0.11553782676	0.3912469248	0.4534576345	0.03126978176
à	0.007254233506	0.0634061002	0.25618543364	0.5918582962	0.0812959112
i	0.036440200866	0.296007971056	0.161195672	0.4000909454	0.106265193
</S>	0.0114517004348	0.021554252006	0.0959779766	0.570136707	0.30087936208
