 	vuole	andare	a	Lecce	</S>
i	0.686360641472	0.0110067973284	0.0085727673094	0.0130799234916	0.280979899467
t	0.68700701962	0.2398010568	0.04022526304	0.0275196057751	0.00544709009873
è	0.3856702075	0.2618844948	0.161616657846	0.184919133419	0.00590948717845
l	0.545399602	0.4042382812	0.01902094774	0.0283693341428	0.0029718713614
i	0.4485184972	0.3172740812	0.1585554459	0.070454045562	0.005197970397
n	0.32114404312	0.637126212	0.0369801834	0.003938682366	0.0008108970784
a	0.0465557324	0.5791327696	0.2252672114	0.145888942878	0.0031553478472
p	0.206888115025	0.617287302	0.130318374	0.040197174882	0.005309025797
à	0.010103955874	0.277246779	0.3264261386	0.3813025774	0.004920550416
i	0.018522684912	0.2795135346	0.2080720418	0.478419242	0.01547250222
L	0.00072414573577	0.012177923047	0.182494676174	0.7787206254	0.025882624934
u	0.015558533353	0.28639665092	0.0916036378	0.59280863736	0.013632530271
p	0.00689103822527	0.09598407976	0.4269183526	0.3464706206	0.1237359014
p	0.003021821924	0.01784434793	0.2421728568	0.721957112	0.01500387272
ì	0.144021981	0.1118627688	0.3678992418	0.347945969084	0.02827004422
u	0.010757862726	0.07067149183	0.065410079978	0.565165806	0.28799474172
n	0.00379045798411	0.0060944213998	0.017959155266	0.71752294	0.25463302028
a	0.01305109402	0.06121638006	0.2100380944	0.511065364	0.204629069
</S>	0.00137372490445	0.0107410504883	0.0378535258	0.1424480194	0.807583666
