 	vuole	pianto	</S>
i	0.660879804395	0.06174675662	0.27737343644
t	0.94845239	0.04321753349	0.0083301373028
è	0.45144978328	0.4942083319	0.0543419283764
l	0.778016784	0.1984193988	0.023563840152
i	0.696808612	0.23351321236	0.0696781732985
k	0.31152860616	0.5187559572	0.16971546266
l	0.32467708636	0.598557565	0.07676538524
a	0.212409773516	0.6944158628	0.093174384034
m	0.010735027158	0.46497534	0.524289612
m	0.02483223478	0.785840826	0.18932693934
è	0.171849718982	0.6144103728	0.21373995323
n	0.10086763914	0.29285055202	0.606281796
o	0.40881111644	0.4136915379	0.1774973126
</S>	0.00228618466635	0.199092181774	0.798621628
