 	non	so	cosa	stai	scrivendo	</S>
e	0.600862863872	0.0695805325428	0.0050830595294	0.022593863921	0.0303434367254	0.271536274178
n	0.549920867036	0.247460751	0.19537642376	0.006389057654	0.0005753611351	0.000277516616261
e	0.16843496226	0.508162532	0.1165412152	0.058432323708	0.0050552562682	0.143373762126
t	0.02940208798	0.90606138	0.0599892942	0.004114095946	2.819922156e-05	0.000404970386533
s	0.02114213579	0.434445448	0.2277885399	0.147334675455	0.0492344409837	0.120054746776
è	0.07969768048	0.802812946	0.08098898206	0.00520551874	0.0020156586906	0.0292792077483
r	0.02081289564	0.6437835	0.2057822738	0.08473163206	0.003549058996	0.0413406560125
o	0.04923504812	0.389105162	0.3541824992	0.0887640564	0.0966920306	0.02202123736
e	0.0336590607403	0.2276037314	0.539149472	0.1845626924	0.003446266998	0.0115788075925
s	0.00431101336638	0.0736690612	0.304441138	0.56511319	0.04781343598	0.00465213861564
ù	0.0019870822896	0.0490849369	0.2230038643	0.3535829284	0.299792864	0.07254833154
t	0.0021673735878	0.01243635402	0.063480255	0.829048196	0.079763045	0.013104742935
i	0.0367335703462	0.0392906506	0.1282801722	0.25764339	0.494595494	0.043456713906
s	0.0164850275149	0.036333193564	0.03762431952	0.60456458	0.206447148	0.0985457068
t	0.00222176079	0.017606779318	0.06924856706	0.34839181088	0.519193722	0.043337338348
e	0.0145994101825	0.016503393892	0.0402708627	0.2211801808	0.432936416	0.2745096943
g	0.00132523226205	0.00379977325844	0.003097916082	0.23191155752	0.4832544592	0.27661106
r	0.0393948275555	0.002764508174	0.01688428926	0.26989208452	0.61381761	0.05724664994
à	0.0110131675586	0.038748117388	0.0152867756	0.1639073514	0.517157618	0.2538869608
f	0.00731620282607	0.0008060527268	0.0009105759384	0.12168337712	0.578099326	0.2911844728
i	0.129803056729	0.044525776	0.125488692	0.1325263702	0.518289098	0.04936701334
</S>	0.0037392432509	0.0070214848019	0.001084656161	0.01640441504	0.159800463	0.811949752
