 	ho	cosa	a	fare	</S>
è	0.670612648625	0.0203516292684	0.0103618332016	0.0139729665268	0.284700917089
c	0.289055027	0.471489856	0.160528181957	0.078055108364	0.000871833747924
h	0.06146819456	0.4187999	0.260938886	0.23615799	0.022635073432
o	0.1865134692	0.646704052	0.1339430522	0.022113759508	0.010725659034
t	0.1097631926	0.676719832	0.1968658269	0.005410176	0.01124099072
i	0.054395434066	0.4439124	0.282184722	0.07843538896	0.141072036308
k	0.0330393839342	0.354077516	0.546446842	0.04130579552	0.025130454352
à	0.00734266297	0.050026202	0.2763095134	0.42472211916	0.24159956366
i	0.0059707146377	0.036992741212	0.131130964	0.706388424	0.1195171522
</S>	0.00135780430975	0.0097454303888	0.105123122	0.4721487826	0.4116248708
