 	non	ho	finito	lo	posso	finire	di	scrivere	</S>
e	0.648764407709	0.029443107306	0.019576877312	0.007104825032	0.0266068412288	0.00800546193211	0.0269795434072	0.0144996527757	0.219019264297
n	0.756874304	0.1699000956	0.0505910162288	0.0107659268842	0.0001351048504	0.00287230940396	0.00064340808498	0.0067671795084	0.00145063804687
e	0.21775985446	0.3923925828	0.069166653184	0.05777467332	0.0610371691286	0.0227425513304	0.00997952597639	0.0338710896375	0.135275897357
s	0.178839329	0.73879814	0.061939847972	0.01567462806	0.003202762223	0.000555834106291	4.42709172629e-05	0.000230863098009	0.00071431736073
p	0.011332855972	0.2253781608	0.275184928744	0.0389713624	0.102458273508	0.0978439314564	0.0455994995165	0.165937621693	0.0372934203424
ì	0.14512201654	0.1125246426	0.4676110622	0.11611421869	0.132270811866	0.0137101341411	0.00236844993589	0.00253740932703	0.00774124734415
c	0.068602920604	0.404296968	0.332047975962	0.12078404433	0.055293864001	0.0140059420974	0.00143995868174	0.00027307499004	0.00325523941312
c	0.012760540272	0.10077259208	0.313283175593	0.1381970758	0.026464226276	0.0970956801972	0.0513575721219	0.241366515658	0.0187026335934
e	0.0769430182936	0.18455618576	0.3066352264	0.269786633	0.08508185449	0.0194506084268	0.016309107122	0.0269455158249	0.0142919120427
t	0.0292783254908	0.2256911748	0.225073954596	0.30515953986	0.12295298874	0.06141542388	0.0075117641686	0.0148357033706	0.00808109953471
s	0.0069160536709	0.03751653786	0.37910031205	0.15716459846	0.09063881106	0.02900777756	0.0827871385302	0.210802338082	0.0060664264732
a	0.00363709468566	0.018356286006	0.5177156108	0.3004277344	0.0501543559	0.073615083198	0.0161387004894	0.0174919691584	0.00246317072521
o	0.00657521237865	0.0323231762368	0.04084717676	0.4945706986	0.2090131178	0.11850500712	0.05013322252	0.0124332351464	0.0355991479537
s	0.00142652061926	0.013551997154	0.023263873875	0.3090762284	0.2475831244	0.23430840024	0.084733367174	0.07512101968	0.010935486439
ò	0.00122978972776	0.006966672144	0.01740116142	0.1321416432	0.4584185068	0.0300768784	0.196642759467	0.0738602589961	0.0832623725474
z	0.0006693114041	0.006482380789	0.013064119292	0.09368353336	0.653805478	0.193720386	0.02516472888	0.0055493575	0.00786071409034
o	0.01442952946	0.02451677926	0.07819489542	0.1617791044	0.2392499374	0.0917101926	0.17637938824	0.078654493592	0.135085686016
s	0.00120942093601	0.00324599907852	0.0063448165242	0.032982344	0.458606626	0.313700039	0.1651799782	0.010501402566	0.0082293662
p	0.00116459667332	0.008901750418	0.004979269862	0.0568709112	0.2876081312	0.2437860928	0.2404567116	0.08537828578	0.07085427393
i	0.0117595623591	0.004254981702	0.0711725441	0.2147567934	0.0628120538	0.31400674084	0.23631598948	0.033459973262	0.0514613672072
c	0.00073246881404	0.00186460651346	0.00315861018836	0.00746186872	0.1333817614	0.358442052	0.3697552668	0.0560968768	0.0691064632
c	0.00279868732787	0.00598746369646	0.0476250825433	0.008051984492	0.057261105506	0.34508986004	0.04866515698	0.4490063636	0.03551430514
è	0.00483330622574	0.00632789463786	0.211086673705	0.14573739568	0.12516360438	0.11924987904	0.0626539321168	0.200674053381	0.12427326235
t	0.0002404018932	0.000641590260204	0.0003535976952	0.001934283132	0.0554321292	0.322460758	0.0796888952	0.39462593	0.1446224088
s	0.0240398635904	0.03168056815	0.043685456036	0.0216327344	0.0448593377	0.3703843896	0.2999746708	0.084824339	0.07891864428
i	0.00129189439822	0.00172648314912	0.00963603335	0.14133979969	0.0489032526	0.3507722362	0.2205699202	0.04267139522	0.183088983626
t	0.00031721445241	0.000395835141509	0.00111793220383	0.0012019184816	0.011215319428	0.0618055888	0.43715751	0.1293859162	0.357402774
s	0.000349862352368	0.00962537798676	0.0006668516352	0.002154430532	0.056519497896	0.2753833124	0.32808701535	0.2861163708	0.04109731564
e	0.00313519846462	0.0020964411436	0.004257044598	0.09124334206	0.05562554194	0.286961786	0.312306652	0.1117517498	0.13262222546
g	0.000106352785169	0.00033966371988	0.000853343737266	0.00078225324226	0.009012608972	0.0376126176	0.38400449	0.17494181	0.3923468448
r	0.0032226612535	0.00696860650037	0.00033158409172	0.000893985799	0.00441057594	0.1187497312	0.2459069666	0.506778946	0.11273698832
à	0.00998888578221	0.004324314428	0.007906923698	0.011665920004	0.024999034528	0.1028700444	0.28092362	0.3443863434	0.2129349
t	0.000337663587062	5.1836644772e-05	9.53250230592e-05	0.00010973896684	0.001668755764	0.02120978053	0.099944019	0.653787178	0.2227956872
s	0.00865193754138	0.0162416894165	0.0275793952992	0.0110094785666	0.02237740985	0.2215347816	0.3555998125	0.2084546802	0.1285508248
i	0.0111701433603	0.0041104157009	0.00547592515396	0.103485673615	0.0795672487146	0.0800693818	0.1964566828	0.091274673	0.4283898608
</S>	0.000269721450878	0.000365954352423	0.00120636753977	0.00091185527352	0.0038048613184	0.01683980284	0.0946130986	0.1514228236	0.730565478
