 	Marisa	e	Nico	ee	non	hanno	mangiato	mai	</S>
M	0.574389252893	0.0217713571504	0.110373538136	0.0580653102644	0.0206477831441	0.00055044730598	0.00811582942224	0.0321436397358	0.173942860252
a	0.359364139175	0.43386324832	0.0393747583	0.11374152091	0.019065735466	0.026617360551	0.0039032041768	0.0023368549342	0.00173316172
r	0.555371362	0.3296061204	0.00981098462	0.02629009186	0.0442306909762	0.0182724654056	0.00672817648764	0.00122629051328	0.00846381870802
ì	0.1309985461	0.342168086312	0.03664283004	0.07278767802	0.0343747353894	0.0979311481636	0.068964842131	0.00307814748367	0.21305395952
s	0.379704391629	0.5728710888	0.036825762534	0.00721746141	0.0026242952814	0.000379975029171	0.00015767360567	2.810795124e-06	0.000216564151727
a	0.00742865451208	0.540067798	0.07991797986	0.0997740962	0.064930209942	0.118928277	0.0551435625922	0.00647175922742	0.02733769033
e	0.0349475294062	0.602612468	0.20437967096	0.1221283114	0.007945268868	0.016576621351	0.0112949036407	3.01766995252e-05	8.50526940656e-05
N	0.00878889522815	0.0388905618	0.6407011314	0.0996253752	0.011645732626	0.15939824277	0.0381824932797	0.000500736807748	0.00226686232832
ì	0.00958170695211	0.16735618264	0.3869459614	0.106888805	0.0762427646	0.13802402104	0.0981880342188	0.0131361447767	0.00363638907901
c	0.0635651729256	0.1987400802	0.287466161	0.1895547574	0.1619090864	0.074982551472	0.01861282765	0.00358611355572	0.00158323841475
h	0.013281602192	0.07869782046	0.13876744676	0.13757821358	0.0810877071	0.271419512412	0.07308556254	0.04208351892	0.163998615571
o	0.012131685441	0.0679578226	0.070945859	0.3042891166	0.1009603582	0.15826823884	0.09613823854	0.011787318191	0.177521347103
e	0.014315027321	0.0650313016576	0.056815942772	0.246014711	0.299480888	0.158580469012	0.13645210107	0.005881355952	0.01742824078
n	0.0120570907685	0.03578992153	0.0421982048	0.2274193518	0.279202762	0.23681408366	0.141915881068	0.016063841544	0.0085388842454
è	0.00521645146125	0.01098840562	0.01337590019	0.084079007	0.1191470008	0.3431827648	0.1895110928	0.14639115738	0.08810822328
c	0.0167567969775	0.155854193576	0.015985435308	0.04767642186	0.1827749622	0.3999097786	0.14855368492	0.0246023551	0.007886421046
h	0.016674332746	0.163012490352	0.08908996289	0.02026209884	0.0830958569	0.19783917727	0.09116446564	0.20443189908	0.13442974678
u	0.00198553540211	0.00788189008	0.0132249209686	0.05657998146	0.0580102596	0.2670662134	0.343857604	0.14878159722	0.10261200098
n	0.00394876788751	0.0139728513039	0.0167264495617	0.01898629276	0.0877945934	0.24740727533	0.2093814799	0.224818514	0.17696375
f	0.00151206195868	0.0072932388	0.00394224881666	0.01054640826	0.02601511282	0.2039098237	0.2639324632	0.436381504	0.04646714384
a	0.00406423215653	0.00656324096	0.004113368922	0.02097271192	0.0270419711	0.1942724586	0.463150548	0.2270681886	0.05275328978
m	0.0107356059721	0.0102363970684	0.0091887527322	0.00965016430592	0.050952043946	0.076826179586	0.2130748594	0.383130356	0.2362056588
è	0.0133418165598	0.015914639416	0.00484661211402	0.0062129219832	0.0290494208	0.04900709312	0.35583218174	0.437216834	0.08857847486
n	0.00169599230036	0.0048569363244	0.0067006493146	0.0085553776474	0.02495276124	0.01961301466	0.187747016	0.566494548	0.1793836976
a	0.00105019941142	0.0108213090674	0.00546926689318	0.0051998150858	0.0063072752	0.02636815458	0.1273463352	0.730080882	0.08735675226
m	0.0262825394159	0.0129248585862	0.00320154720342	0.00430064648426	0.0320649226616	0.038772461838	0.11458271052	0.300174826	0.467695526
a	0.00101783575531	0.00273605241586	0.00227649394905	0.0021208325286	0.008485431946	0.02028681094	0.21960441576	0.630983384	0.11248875264
i	0.0198657253214	0.00965360892859	0.0114888022523	0.00716217223288	0.0312471768112	0.050691934836	0.0956158838	0.5141191608	0.2601555268
</S>	0.00135136993433	0.00299385124492	0.00662755685528	0.00368101297518	0.011095284037	0.031307049796	0.1180618897	0.541343224	0.283538792
