 	l	anno	che	viene	devo	mangiare	molti	dolci	</S>
o	0.606231144161	0.0649507829239	0.012949585694	0.003436386732	0.00045075986846	0.00084111848744	0.00791906759096	0.0081934853884	0.295027632261
c	0.18674024925	0.570043944	0.03503242874	0.008530491328	0.135045624604	0.0491799040172	0.000132129836782	0.000613897110617	0.0146813726606
h	0.100014483348	0.34561487814	0.0530427568	0.078825571	0.08874431246	0.183618028868	0.0512232203502	0.063147665153	0.0357691266772
r	0.2813583286	0.4552185842	0.05478383706	0.02197736572	0.133973909085	0.0128852266387	0.00392531830506	0.000623890296565	0.0352535850341
ò	0.161605756	0.70299732	0.07559025276	0.0295264588174	0.0169335120939	0.0115865111188	0.0002408820675	2.90567940946e-05	0.00149030874479
n	0.10652480144	0.755346637	0.0933945534	0.00721704534	0.0339971790258	0.0025808999406	0.000296627092998	1.08431792969e-05	0.000631413768642
o	0.07058286431	0.4297366906	0.1361727086	0.06402159932	0.116152765015	0.148803984595	0.0186131085549	0.00664887540261	0.00926739129895
k	0.0869926057168	0.2225802344	0.527266638	0.071252622	0.0827504274	0.0064810114572	0.00243980717583	4.10627546299e-05	0.000195550291254
a	0.012719630146	0.315660978	0.2305371976	0.1268833866	0.028260686192	0.19553288866	0.01521860529	0.0535067680552	0.0216798734324
m	0.0148739406634	0.1153715238	0.523145962	0.160209998	0.15583186354	0.02082768726	0.0042517595942	0.00228760904996	0.0031996288454
b	0.00778866192	0.25939544716	0.2284258058	0.1535449956	0.0373019626	0.0816112678	0.037801266574	0.14627547256	0.04785511872
è	0.06456610648	0.2506647238	0.2316877112	0.11909107738	0.0675093661492	0.213427673212	0.008510515203	0.0166607008692	0.027882175674
n	0.010410276294	0.04952187882	0.328346852	0.0904267438	0.337342154	0.13197950902	0.040027618692	0.00187295922402	0.0100720213389
n	0.048048569403	0.07866518508	0.2987439082	0.1406119008	0.07978952794	0.1543484972	0.0358006276	0.112940777162	0.051051016756
i	0.08051600045	0.06807076418	0.13390227744	0.28716564358	0.0720915542	0.2416589102	0.0255884961	0.077588160251	0.013418171369
è	0.00519285485958	0.0050212880084	0.0486394796	0.2163350536	0.344487738	0.189970524	0.1482115227	0.025095499271	0.0170460263428
n	0.000935556537688	0.0089269596756	0.04095960096	0.1320076938	0.388595562	0.233426752	0.11174664948	0.0311494249094	0.0522517983675
a	0.038788416124	0.043695168678	0.1230365884	0.146310772	0.1595419486	0.233829066	0.1105769698	0.128074477489	0.0161466175734
f	0.00247204081001	0.0101724797823	0.02979203202	0.05666447126	0.21428425	0.446266546	0.177683305	0.045951396626	0.0167134741154
à	0.0229055132572	0.014471186738	0.04370271076	0.047811762	0.09534993828	0.364950118	0.193475866	0.184124537156	0.033208376688
o	0.000293258226364	0.002105499875	0.00392900173	0.02505491196	0.186009736	0.42124473	0.26766551	0.04567215758	0.04802523416
p	0.0001800313459	0.000718697674354	0.00166979923072	0.012252976222	0.05771175696	0.09244977572	0.6094347266	0.1897307483	0.035851494016
o	0.00175160607706	0.0020682268019	0.0038276057742	0.010832762034	0.01313510344	0.1984081474	0.3760349626	0.3840987902	0.0098427676
d	0.000570598088874	0.00670808018773	0.0020080037874	0.0219028934976	0.034454502736	0.1811420391	0.5309023262	0.1754785876	0.0468329761
d	0.00554733931068	0.0267637848416	0.0199144320828	0.015824998474	0.0811510802	0.192988069	0.358304768	0.2708078916	0.02869761054
h	0.061748184554	0.01781090238	0.00514277166	0.02699315692	0.00966523558	0.1656790268	0.39156576106	0.2887828834	0.03261205626
à	0.0216218619417	0.006688544991	0.010646690422	0.008843324408	0.026635004908	0.1079435502	0.2515640474	0.3658078428	0.20024911228
g	0.00071929509927	0.000155215095034	0.00020896764496	0.000789253034	0.00483252505	0.027370994668	0.2790285536	0.38076294872	0.306132264
l	0.0032982983911	0.016454781858	0.032036160338	0.017016342048	0.09349248056	0.09109218892	0.3555583652	0.342626846	0.04842455168
i	0.004356100094	0.0062227123	0.003273681377	0.006644734568	0.015012710436	0.04708654496	0.4132570416	0.4285281364	0.075618298934
c	0.000166585154114	0.000118256273547	0.00057142044508	0.0009015168964	0.00237932165213	0.0202796145014	0.1407368022	0.40741772446	0.427428796
è	0.000517363591432	0.0174313064901	0.015440939738	0.0756381673172	0.087481415792	0.054769195	0.23691827416	0.411309477	0.1004938462
a	0.0001530557092	0.00012140110836	0.000257495720634	0.00036550052	0.003936597024	0.00661355886	0.3822070274	0.42259758906	0.1837477604
</S>	0.00151217415648	0.000277156712073	0.00283977482384	0.00424969594406	0.00463728634126	0.0109925115612	0.128607515	0.295486464	0.551397394
