 	lo	sentii	che	viene	</S>
t	0.664311991914	0.0118564439184	0.0073237613358	0.008363411346	0.308144421759
o	0.547234322536	0.3025027933	0.08472136543	0.0609537596242	0.00458777350552
n	0.22707133838	0.558805512	0.20972017866	0.0009024626156	0.00350048955302
ì	0.19733760354	0.12212722454	0.4829836627	0.192209882434	0.0053416271398
k	0.028328238048	0.645289904	0.3173930376	0.0035842709098	0.00540460305338
u	0.24495444554	0.2798198702	0.28971893234	0.135403879908	0.0501028458499
s	0.28805565127	0.4296606614	0.2414448634	0.0158975321709	0.0249413001947
a	0.0415089361	0.221014504	0.601470232	0.10543559484	0.03057073557
n	0.0105606821372	0.301124890928	0.591759074	0.0624274989	0.034127852112
a	0.008003250784	0.0264339018	0.440020134	0.39670176	0.1288409073
r	0.0527926056186	0.0547700741366	0.394124442	0.391569002	0.1067438648
t	0.032778139288	0.02029885356	0.1021785478	0.751501962	0.0932425266
i	0.15475291392	0.02509347452	0.1838975222	0.367849446	0.268406650566
</S>	0.0086566673951	0.00326892406502	0.03455069798	0.1620612016	0.791462466
