 	sto	ancora	cucinando	</S>
s	0.744762243965	0.018437122134	0.0693130664559	0.167487593406
t	0.6478870717	0.1776725866	0.165155211144	0.00928517681541
e	0.70713947	0.11308184498	0.00319614557841	0.176582478223
a	0.3413848716	0.62294717	0.0092370979384	0.0264308187633
n	0.1153176908	0.664644728	0.121966723719	0.098070851578
k	0.0695580124	0.425494878	0.066972504344	0.437974638036
ò	0.623670204	0.3080718292	0.02626246689	0.04199549901
r	0.28340520755	0.3607049	0.29439785364	0.061492076492
a	0.1900894786	0.372461264	0.3460111748	0.0914381104
m	0.181757039701	0.3797757702	0.325320862	0.11314632366
a	0.09729286456	0.1615812996	0.63943052	0.101695353
r	0.152777512871	0.2930816422	0.345281823	0.2088590258
è	0.050717830976	0.110905352644	0.534227926	0.30414890626
o	0.0910141069132	0.220805392366	0.616493939	0.0716865328
n	0.0154673778942	0.10842586736	0.4706430812	0.405463649
t	0.249288308743	0.00976190434	0.269115226	0.4718345808
a	0.216985395124	0.05816931634	0.3789119256	0.34593335772
</S>	0.0161675465031	0.0063374933028	0.1165799728	0.860914968
