 	pure	che	ti	vedo	una	volta	non	ti	dimentico	mai	</S>
p	0.766760934938	0.0138978476134	0.00119794850392	0.0095368049938	0.00032681637816	5.392763194e-05	0.00105612144446	0.00187070972745	0.00324491335796	0.0327861997627	0.169267767298
ù	0.72851485	0.1945681116	0.03293513498	0.0111961131634	0.00330478939276	0.0038058654726	0.004883065256	0.0115446021071	0.00239283162674	0.00460981864876	0.00224478815993
r	0.5496052894	0.334026856	0.0690896244692	0.000249653726388	0.00839695751232	0.0355444900256	9.59920857612e-05	0.00084961010951	7.04858342437e-05	4.28659615962e-06	0.00206675122304
u	0.14528407846	0.441830792	0.1175208426	0.0107758597272	0.00299031826328	0.0023476266484	0.151732682851	0.0161043240543	0.0355513333384	0.00623084481161	0.0696313049364
k	0.05670143918	0.90489492	0.0321659932	0.000362319978	0.0010719068192	0.00323425000244	0.00121704584492	5.6757953354e-05	7.79562097928e-05	6.74591340503e-06	0.000210611740688
a	0.045339780774	0.2861047068	0.2416364786	0.093071084446	0.022331281506	0.005081112684	0.093290939238	0.0311139506648	0.0362050042646	0.127468056724	0.0183576577902
s	0.059786325236	0.681728116	0.2428535152	0.003063288314	0.00499970601	0.00564049229583	0.00132677623958	0.000353159655548	9.94609847788e-05	7.80539590872e-06	0.000141345348781
e	0.02434521018	0.197865661	0.444761639	0.028618196746	0.01576411808	0.027381108132	0.123153574668	0.049024620295	0.0574273121431	0.00968085523931	0.021977682108
t	0.0425798553635	0.3752488704	0.5025875223	0.04082493634	0.01819774916	0.0168380834559	0.0028936532948	0.00031639290312	0.000242462499671	6.69091796702e-06	0.000263775292684
o	0.010312677248	0.050875937	0.5055295408	0.07220087657	0.021903407414	0.0445424325346	0.0830911553136	0.0437590737488	0.0800282975379	0.0166041576623	0.0711524460106
r	0.043871506944	0.29857766838	0.3151948442	0.1818785345	0.09359564176	0.0533194066996	0.010951583264	0.0010265865304	0.00096239604172	2.51792203454e-05	0.000596649783488
ò	0.005287561086	0.027708643	0.2121567004	0.32182354364	0.0459077842	0.0481519914	0.0995975451	0.031751785672	0.07244810378	0.0307675899223	0.10439872022
m	0.0442468235883	0.13975477892	0.03043682396	0.46212169506	0.1237929778	0.123682090154	0.06209837702	0.0051529053272	0.0081124889936	0.000207454006504	0.000393615496276
ì	0.0631300739854	0.07098198596	0.1074908002	0.33111621	0.0904124736	0.04531110324	0.06351977932	0.06618951625	0.045431489786	0.0876155146113	0.02880103182
a	0.0161840282568	0.038709087826	0.05152072017	0.359531004028	0.21230282292	0.14265193798	0.14476761904	0.01158257664	0.021134224248	0.0011326663917	0.000483291034
f	0.000540856675226	0.00409210513472	0.0024367304586	0.296831006394	0.387613481339	0.008368782368	0.2178552066	0.0201589065566	0.050963338	0.0080736899842	0.00306588083117
o	0.0327504920452	0.00922513842326	0.02066907022	0.12691486688	0.28244997852	0.137618542328	0.0872606016	0.0635106866	0.1331713545	0.0856318847186	0.020797372426
r	0.00950535040896	0.02088729637	0.04246237444	0.09094142276	0.4046678012	0.096923992	0.266228884	0.046219905	0.01777158136	0.002667746394	0.001723609725
à	0.001250137178	0.005973884128	0.01773732128	0.06804231624	0.2573188208	0.13382491084	0.08886030422	0.07381982206	0.12656920282	0.147730699912	0.07887259484
e	0.00154659178131	0.01019128936	0.00950767335666	0.120310593134	0.1035148949	0.1023517728	0.3397500762	0.05153829254	0.220061024	0.038209536488	0.003018231152
n	0.000566592951432	0.00193904745131	0.0014194455418	0.179506665128	0.0521225902246	0.014297385176	0.427884144	0.123794156752	0.1421256754	0.02973158202	0.0266127191291
s	0.0025485651466	0.0037308040502	0.0187355056368	0.002132754526	0.07664626054	0.03490203504	0.084090257	0.2102319504	0.31347314858	0.187055390912	0.06645331914
e	0.04665292248	0.005471958848	0.0281891722	0.11621261908	0.1188897904	0.1051254952	0.085084641	0.293383172	0.132659435	0.0265170714	0.04181369703
s	0.00117905539623	0.00410910586	0.00998440109964	0.0108707642466	0.0381735665	0.03782958579	0.266634976	0.2541397237	0.1616071738	0.09122072784	0.1242509106
c	0.00076034677	0.0070433845874	0.005359339459	0.0011532860904	0.01271713444	0.01510195794	0.0748560088	0.3076626408	0.15444851256	0.23023081844	0.19066656638
e	0.0323569815856	0.029293845072	0.013911601138	0.17276710074	0.0786889594	0.1154134084	0.15414691242	0.1843591036	0.095986048288	0.04036989376	0.08270612211
r	0.00787076391994	0.00409498439756	0.0103033991447	0.010516881424	0.0179530598	0.014918304	0.2680821732	0.1864778456	0.250331323	0.09077459304	0.1386766708
r	0.0043511975836	0.002238905046	0.004241114932	0.002384738966	0.048609569244	0.043967599268	0.073311028084	0.18010253374	0.23340970056	0.3685914314	0.03879215634
è	0.01194454497	0.001761871508	0.020860785704	0.07642188744	0.03854070068	0.025068617012	0.0478607735	0.2030302058	0.367731909	0.1558763544	0.05090236294
o	0.00067592543794	0.0001952493553	0.001094714789	0.006394155827	0.0029184742952	0.005934616712	0.06115626974	0.0348064224288	0.38415460204	0.362493668	0.140175938
m	0.00041065827172	0.00129090152242	0.0006326466806	0.00421028649544	0.0044280420168	0.0011384106856	0.067872175	0.068656012686	0.1126258976	0.523776046	0.21495893
à	0.0079069743438	0.0102716596414	0.00862190401463	0.007545091482	0.010822316826	0.015981398174	0.062478275	0.165869906	0.1675023456	0.502319572	0.0406805692
i	0.000808761180286	0.00036618404336	0.00176805196056	0.0010082951036	0.00391704890458	0.007294614493	0.0109984629	0.018687500723	0.24141011928	0.63555819536	0.07818275388
</S>	0.00077053311654	0.000782818736991	0.00084207538843	0.00124873399287	0.00204354888284	0.00019925939738	0.0194583273	0.02040791984	0.023792512	0.522505222	0.4079490786
