 	è	che	sono	usciti	</S>
è	0.700297129198	0.0117031281012	0.0018008858682	0.0101221313246	0.276076724607
n	0.2635143734	0.4190898172	0.157201800316	0.156795901529	0.00339807294
a	0.295742867706	0.331411686	0.1855313218	0.176169118652	0.0111449756992
g	0.04309691062	0.764388314	0.175377577	0.0100091661584	0.00712809669039
u	0.185685058304	0.1881405029	0.0951868264	0.51924137471	0.011746247714
ì	0.0468940119385	0.417043344	0.4586320486	0.03068598872	0.04674460734
k	0.0020689419368	0.1058516748	0.48665647788	0.328735518	0.07668738366
a	0.09797155632	0.1602202532	0.376509378	0.30147877578	0.0638200252
n	0.0241129594377	0.097528440091	0.469078954	0.1829596708	0.2263200072
e	0.0400731501104	0.05105309382	0.605992701	0.1738686186	0.1290124175
</S>	0.00486516285646	0.0134137114526	0.0842517634	0.3336277486	0.5638416254
