 	prima	di	andare	alla	scuola	</S>
p	0.653451132415	0.070356068636	0.001099326356	0.0112718091204	0.0151242211817	0.248697486034
r	0.740363618	0.1463955913	0.065798825964	0.04581491469	0.00132612111728	0.000300974688
ì	0.433516616	0.3203110806	0.2178775816	0.00430709468	0.0002128633935	0.0237747724079
m	0.16862330268	0.695701948	0.12405519161	0.00400771956	0.0002055520306	0.00740627475846
a	0.182501234	0.43653006	0.180159159	0.084126385806	0.080127568479	0.0365556330604
n	0.112632521427	0.599968078	0.2523888414	0.02957636193	0.000314536256514	0.00511970689352
a	0.0332925436263	0.31763744368	0.340302006	0.2087739524	0.0861361767132	0.0138578564638
p	0.0543466250487	0.3501505878	0.5399091034	0.04870822408	0.0013482908064	0.00553714870253
à	0.00713416076	0.11226383776	0.4709834784	0.1456021908	0.22032146482	0.04369485084
i	0.00870252207641	0.2699531273	0.5170365116	0.173037265	0.01775167978	0.0135189369317
s	0.00277379602209	0.1440041052	0.219787642696	0.562962534	0.044038911468	0.026432988409
t	0.007972520919	0.0400715126	0.5124622808	0.194229557	0.169694518	0.07556964112
i	0.0333435350884	0.01367638136	0.400211582	0.38061785546	0.065506925556	0.106643746243
s	0.0168839940066	0.104114572191	0.14925458574	0.55823751	0.12720874272	0.0443005796
k	0.001214474426	0.030530297834	0.0550574154	0.358287164	0.480418548	0.07449208796
ò	0.04681505192	0.05975974988	0.402053211	0.2674306794	0.12744883944	0.096492495534
l	0.0391872363357	0.0457366611998	0.07128522726	0.2272890838	0.503379354	0.1131224058
a	0.0305867033126	0.0621996688	0.128296301	0.1906160366	0.560583414	0.0277178868
</S>	0.0189878580745	0.0514687131078	0.112665433857	0.1690968142	0.362146735	0.28563445
