 	vuole	vuole	mangiato	caldo	</S>
t	0.688680257922	0.00529317368932	0.003942713816	0.03232680464	0.269757065412
è	0.52815839198	0.180309988	0.245212983514	0.024204150786	0.0221144834439
l	0.80677592	0.1834457316	0.00566834871	0.000294717270838	0.00381530915498
i	0.4560678808	0.36194724	0.088748241	0.016345426603	0.0768912157286
t	0.2251788806	0.71740106	0.04997346668	0.00473480352	0.00271177196708
è	0.03243651984	0.5449493492	0.3437481702	0.070349806746	0.0085161339642
l	0.15064440891	0.629886156	0.1852385492	0.018937976936	0.0152929293292
i	0.16526312386	0.4479817248	0.2647699038	0.10051814594	0.0214670853548
f	0.0424962380557	0.2732939744	0.580306868	0.0601684158	0.043734472426
a	0.0491607793856	0.26354446472	0.405815464	0.266293706494	0.01518555034
m	0.0088618382215	0.08915225176	0.627361412	0.1971882348	0.07743622668
è	0.00789421198	0.0449541421	0.49971391	0.3773677448	0.0700700198
n	0.001924025696	0.0434180768	0.4260909112	0.29971595	0.2288510458
o	0.15286254633	0.1060629736	0.1858340654	0.4313903851	0.12384999426
t	0.00145306086841	0.0217947983296	0.131848560608	0.5027158522	0.3421876872
r	0.027262645728	0.061196683002	0.1487531994	0.701368964	0.061418501
e	0.048013979004	0.030246900644	0.1818069498	0.466435916	0.27349625286
m	0.000145253707899	0.00201483348609	0.010919659768	0.4731176652	0.51380258
m	0.00515086037812	0.009593870676	0.0621070986	0.801607974	0.12154022114
ò	0.139785238741	0.073734656496	0.15145279932	0.3360579126	0.29896939462
</S>	0.0002492954638	0.00298580131824	0.01444522598	0.323151662	0.659167994
