 	ora	ho	finito	di	scrivere	</S>
à	0.754473986578	0.01557875218	0.01160672395	0.00799729477	0.0007330587562	0.209610205457
r	0.928404632	0.04743621913	0.0190685792533	0.000888241036549	0.00401159230632	0.000190736078744
t	0.19344534582	0.2763796546	0.205500531144	0.03080402759	0.275214018572	0.0186564230243
e	0.363132994772	0.2272435112	0.3241515246	0.0043775846772	0.0757950576819	0.0052993152202
s	0.3670960066	0.4171244708	0.21170568541	0.002856829	0.00104905355668	0.000167931373379
p	0.009683601912	0.1772353602	0.4045832997	0.205380160484	0.188155812457	0.0149617358423
ì	0.24246860556	0.1901354146	0.502030876	0.04516855914	0.0090017758064	0.0111947757165
c	0.16860031034	0.40005664	0.363979325135	0.05502293027	0.00914614223	0.0031946803664
c	0.0230233699736	0.1732590799	0.316052108145	0.1053291067	0.372674914784	0.009661432692
e	0.145093088509	0.2846306616	0.314305683954	0.079096639108	0.136326223194	0.040547749772
t	0.02928083968	0.246593977	0.234298952583	0.29514482854	0.151001528006	0.043679885904
s	0.00646885516072	0.056297296404	0.49077395	0.2142507776	0.211668850491	0.020540261638
a	0.0045826075294	0.04025991246	0.630263378	0.28683259948	0.02393499206	0.0141265324846
t	0.0022115898002	0.06609214271	0.071190804706	0.5934063694	0.1021020006	0.16499708356
s	0.0019286929594	0.01451889755	0.416626785	0.2408494989	0.15045238648	0.175623745252
e	0.00770713458	0.02093710128	0.3769919072	0.443991134	0.08337190036	0.06700079786
g	0.00129930116269	0.0560279611722	0.017723373906	0.497380078	0.1768174772	0.2507518288
r	0.0001175585186	0.0104966196352	0.022881899556	0.21496487992	0.51590871	0.235630334622
à	0.00701058015	0.0344347282	0.03414246285	0.2791535994	0.42175940962	0.2234992172
t	0.0006589423034	0.00357967505134	0.003255790452	0.0924512346	0.707357494	0.1926968534
s	0.00894817215506	0.104525081063	0.20936690998	0.3216146482	0.228928624	0.1266165731
i	0.047609080442	0.0286232171477	0.1013453223	0.211507546	0.13385948292	0.4770553217
</S>	0.000550705488651	0.00112617995409	0.0044308153654	0.03651748112	0.1960086594	0.761366132
