 	se	vieni	ogni	sabato	ti	compro	il	pane	</S>
a	0.621558460057	0.0071434218034	0.0055642238262	0.0136279697188	0.00206170503	0.004352649578	0.066640501518	0.039216030523	0.239835036147
n	0.53110491608	0.2453458052	0.01847260742	0.005704481432	0.164566519767	0.00386009851836	0.00789597454017	0.0108580759915	0.012191531608
è	0.17191850429	0.1678341551	0.3603972036	0.054027473566	0.088080384232	0.0193312514506	0.00216775865196	0.000176421122802	0.136066831741
r	0.122254924482	0.54014675206	0.2865874012	0.037427075206	0.012765973443	0.0002758296118	4.97487786168e-05	4.6800828336e-06	0.000487590889828
k	0.02247808018	0.331216682924	0.31303102228	0.0468859078	0.17799737826	0.0636915234467	0.0117534804661	0.00984342670698	0.0231025118573
e	0.05751807383	0.32104657637	0.2060005742	0.10035594706	0.299181529646	0.009116229844	0.0036033005126	0.000348744963633	0.00282904180917
s	0.028271633528	0.1874692214	0.4231248766	0.2698749198	0.071904757414	0.0154181922793	0.000163631066009	2.3093356946e-05	0.00374970551074
e	0.0034490258012	0.067254267384	0.486234347	0.14576694514	0.1467014854	0.127682954605	0.00885897820786	0.010030303832	0.00402173818492
k	0.00373464368566	0.03261382624	0.5149833616	0.2983447558	0.13410727814	0.01495849716	0.000572227823632	5.7791234646e-05	0.000627616983954
u	0.0022621428786	0.0207070831748	0.218474311191	0.372760852208	0.0892786254	0.08392060632	0.143022860784	0.060212500976	0.00936101607
à	0.00566197182507	0.032990918224	0.320616642	0.439002616	0.15337483172	0.0432553211	0.00164942893	0.0003094746178	0.0031387864146
i	0.00694054172008	0.0820463106439	0.214206504	0.3259653052	0.2424271715	0.1039736902	0.00993591696596	0.0093775231156	0.00512704062487
s	0.0301676060957	0.0452444611511	0.124723647	0.0811373042	0.33773150305	0.292327912	0.04240611293	0.032249325912	0.0140121388205
à	0.0009177336192	0.033117438672	0.1644776178	0.1924533369	0.2770783754	0.1661685983	0.070757456798	0.04382986842	0.051199549028
m	0.020688889009	0.051885383606	0.05836394648	0.2286089877	0.08568502978	0.4721374948	0.0532138761952	0.02340739952	0.0060089658572
b	0.00407320008583	0.032133268652	0.10585642078	0.13748387786	0.1491928854	0.262791553	0.07171400394	0.20882706892	0.02792771278
a	0.00760804578021	0.0012487140248	0.076731755858	0.0881812706	0.2227401792	0.267702679	0.19488246	0.085394451	0.055510434664
s	0.0119877183673	0.0106223890085	0.028935596799	0.0926201899798	0.132146970686	0.381379964	0.217929373752	0.044620237132	0.0797575596
u	0.00724312672157	0.0248968664744	0.14836524694	0.053822245338	0.0943658787	0.281754617	0.17021354836	0.1509079988	0.068430507712
v	0.00375517212017	0.0109528242013	0.0171732634794	0.120947275882	0.0459709261	0.326372829	0.33608740542	0.0987875644	0.0399526836
o	0.00073574571128	0.0157992942592	0.0648626048155	0.036118455984	0.01063671216	0.2122271758	0.17315374366	0.4689321532	0.01753416218
r	0.00380138909935	0.0285847441921	0.0356486533876	0.180840392584	0.01795444452	0.221246033	0.326048026848	0.13586601396	0.050010275
à	0.0012039125446	0.009529007987	0.024111504408	0.0176979888588	0.01429474484	0.21548050322	0.240427814208	0.409818	0.0674365426
z	0.00340625548384	0.0699328864122	0.0633834898854	0.0462917511954	0.00581194189	0.0627601984	0.104991859552	0.3853186232	0.258102962
o	0.0102085224777	0.010807311236	0.03941672676	0.0140948946	0.0355818011	0.1222595676	0.16282641248	0.5379193068	0.0668854454
o	0.0143706531395	0.0241451166426	0.030950276646	0.0830821514094	0.0098718741332	0.041382925066	0.071792486192	0.2039918602	0.520412624
t	0.00077065480964	0.0013012446953	0.0150070703722	0.00690592735739	0.0047237738418	0.02894651558	0.0463296081	0.46448969	0.43152549
s	0.000643738922746	0.0152305973969	0.0256029103468	0.0115057542094	0.016035568148	0.042102034548	0.1573362926	0.557994256	0.1735488328
o	0.0018413333748	0.073828488426	0.01560539038	0.01676781	0.06390783934	0.02182336862	0.2018692016	0.397328256	0.20702829064
m	0.00122868806024	0.00983740694758	0.00979675033693	0.0138736160572	0.0015551361574	0.008441542194	0.0441544417436	0.20069487852	0.710417528
ì	0.00268303452379	0.0399177552905	0.0902541624792	0.0093076418124	0.0026669916	0.053380630394	0.071423277	0.6429457336	0.08742077102
</S>	0.00185067120224	0.0184407550962	0.0265634420506	0.00784480790955	0.0012809517552	0.002170049082	0.015117774054	0.235877492	0.690854052
