 	ho	finito	di	scrivere	</S>
s	0.622241018555	0.138644618911	0.009140961661	0.0011385565692	0.228834841661
p	0.3471235096	0.36061914124	0.08309019938	0.194000760609	0.0151664178614
ì	0.2633044068	0.648955581	0.04290546859	0.0180648119936	0.0267697380052
c	0.21097358324	0.759535842781	0.012185464352	0.0153128235653	0.00199232328644
c	0.0767846911028	0.514720792841	0.0222997502	0.382475888944	0.003718875766
e	0.350942486015	0.422321757083	0.12589914384	0.092294795564	0.0085418057556
t	0.0708464722	0.394042130947	0.2848182089	0.236244657405	0.0140485538782
s	0.0285285383366	0.506966987	0.20357891614	0.247136505798	0.0137890808294
a	0.012939236947	0.740682755	0.21353910114	0.0202414035147	0.0125975026417
à	0.0074750372324	0.03443943868	0.660524238	0.17851928948	0.119041996666
t	0.005739855126	0.0549606766474	0.41465851264	0.478563544	0.0460773984632
s	0.073015418288	0.1841622612	0.440283568	0.2193835986	0.08315515524
e	0.084246561656	0.30797266314	0.251243132	0.1276990749	0.228838522144
g	0.00170045790485	0.007391955478	0.456309718	0.2693971916	0.26520068
r	0.0432576622972	0.01180633184	0.16528411894	0.506112044	0.273539872212
à	0.09281041078	0.02980711242	0.1142132142	0.4677032088	0.295466047
t	0.00146555945982	0.00060675288374	0.044670694134	0.722367798	0.2308892558
s	0.0952757587891	0.11736695412	0.2189209672	0.381393624	0.187042679
i	0.100408348281	0.0972536809	0.1544025208	0.1132981618	0.53463729934
</S>	0.000518861399528	0.00124521352592	0.015671763232	0.2161548838	0.766409286
