 	entrò	da	qui	</S>
m	0.4916108076	0.115810264516	0.050724691228	0.341854241251
b	0.6083511724	0.225086779168	0.161170616812	0.005391439968
ì	0.55313108382	0.173583599	0.078130616818	0.195154646144
k	0.27047928193	0.534320206	0.071964825	0.12323565374
e	0.464044261	0.3602144346	0.169593779856	0.00614748438
a	0.174011021311	0.59557409	0.17263998454	0.057774873362
p	0.161416702776	0.2656206934	0.4615643752	0.111398229488
ò	0.22568914828	0.17708372384	0.58216308754	0.01506406302
t	0.026939904718	0.2525058578	0.664446144	0.0561080932
t	0.2402180849	0.1069050284	0.55542579132	0.09745109908
u	0.189301564946	0.12272732104	0.3358516	0.3521195266
</S>	0.00939835690656	0.0087844439284	0.163427532	0.81838965
