 	voleva	un	bar	con	un	forno	che	fa	buoni	rustici	</S>
ì	0.564508296042	0.021444489132	0.0531303931828	0.00559212587	0.012700164856	0.0030742202128	0.045475435204	0.0205187094881	0.00815222844274	0.0623097754687	0.203094129623
t	0.782892692	0.170501984586	0.00839736416998	0.0180730258113	0.00780383111295	0.00931848113081	0.00035345518116	0.00118496336943	0.000109845565531	0.00105327746019	0.000311126496593
e	0.62562375	0.2162725974	0.067472517968	0.06662181092	0.0061395046764	0.00056302406478	0.00402165922632	0.00319520988433	0.00474701764353	0.00363851379012	0.0017043511187
l	0.3473849942	0.4675944552	0.176715127988	0.00765865214	0.0003835232276	5.032714683e-05	0.000120673586212	3.33816938055e-05	1.34109454378e-05	1.36999142092e-05	3.17426383272e-05
a	0.1244938076	0.42624949	0.11128963154	0.1443162547	0.04773717214	0.007435888224	0.022920467958	0.0163165846033	0.0768429833101	0.00624550930499	0.0161522587886
è	0.195526289901	0.531195038	0.201997381646	0.0650699706	0.00426771352	0.0003691181364	0.00083085597554	0.000121456093708	0.000107526086123	0.00020311222933	0.000311587385969
n	0.2049717005	0.20274710508	0.331335766093	0.14160000446	0.059456278304	0.0124870733435	0.0062917404088	0.0379966228639	0.00212258098254	0.00045848392015	0.000532656123432
a	0.02008223514	0.193530868	0.26975446026	0.2738999366	0.0889195342	0.0230964555	0.0417847658	0.0272773868124	0.045116893616	0.0109616585696	0.00557578870062
b	0.0565173658519	0.144696637144	0.46983655	0.2241724672	0.083697314	0.01164361654	0.007350145083	0.0011703626812	0.000318830335751	0.000209502689157	0.000387186944966
a	0.01997485042	0.0363139442	0.247494496024	0.2018488648	0.1118875954	0.066853773312	0.045047472688	0.03292076445	0.222746773727	0.0131967562084	0.001714719582
r	0.0240089462252	0.108255912372	0.232737885	0.335662452	0.2008876668	0.03333489822	0.0441947241	0.0145604954647	0.00413474871809	0.00116985065214	0.00105244027637
m	0.02788951584	0.0177176834	0.12066532644	0.1626700655	0.1892645806	0.14749218228	0.03911547002	0.034373045544	0.230446708624	0.0135050452408	0.01686038488
è	0.21936340094	0.2195998432	0.1126431648	0.181673588	0.10820109594	0.125605893704	0.006843589142	0.0016414770668	0.0093990104686	0.000239280497575	0.01478968056
n	0.0111262778941	0.061333795966	0.04024798492	0.380828024	0.241291698	0.05189993572	0.0952126437	0.065915846792	0.0302265753036	0.000603892061998	0.0213133366068
a	0.066556489379	0.036885747334	0.119805997705	0.1075601121	0.23704536678	0.11527207772	0.04856090482	0.07755638524	0.120119468686	0.0546821517754	0.01595526823
f	0.0101283763759	0.0205942491645	0.03139155388	0.1117909154	0.3689744042	0.15007570324	0.170209528	0.09092842686	0.0399043169984	0.00374516558553	0.00225734247206
ù	0.019363500814	0.011043297223	0.04971235134	0.0326351556	0.3083402698	0.18376948258	0.0370055869	0.04049194478	0.27204216284	0.038197992003	0.00739826818
r	0.000476649789484	0.0034096131208	0.002205319898	0.07612123	0.29477067948	0.2651270913	0.0989282592	0.1754128043	0.07362481161	0.00613432960336	0.00378919804406
n	0.0071879710574	0.008174165326	0.008509283888	0.0647605614	0.311899794	0.1718482978	0.0626494296	0.0709771362	0.09032964546	0.165185265298	0.03847847656
o	0.236414569053	0.0326087413468	0.04028286752	0.03649181726	0.1590986434	0.27841796412	0.1196656708	0.053186568	0.03361248156	0.004224324064	0.005996353292
n	0.00257431479887	0.00349219013121	0.00380414158148	0.0306610778758	0.12707613898	0.08545549386	0.473717314	0.1500276092	0.08906680792	0.0094585834688	0.024666300562
a	0.0167859034913	0.0040164246926	0.004212642589	0.00767547404	0.16513160272	0.068006982872	0.22068201274	0.1485359382	0.2819802428	0.076879571404	0.0060932153
k	0.00122904433245	0.00171894826305	0.0041117318406	0.0173977133924	0.07643565586	0.155467551532	0.388560642	0.1932602206	0.1337738018	0.018906015128	0.009138675312
à	0.00440938262	0.00434419994	0.005784247724	0.00851842624	0.1700938686	0.0776803798	0.1050702356	0.1212422222	0.3063466604	0.175844337	0.02066608756
n	9.6116619096e-05	0.00023294480688	0.0002868118676	0.00787724217	0.02858277264	0.12643645922	0.1548243996	0.370772014	0.2213362202	0.0702872974	0.01926773843
i	0.00588915001471	0.0030303039817	0.0024132517002	0.005749241925	0.04073480814	0.03395662792	0.1038689166	0.1916917046	0.19537354	0.39357411082	0.02371833146
k	0.00345541994715	0.00173361958112	0.00180707248435	0.0116712714279	0.0669000401835	0.064721655226	0.2502907548	0.2254578872	0.2001900818	0.12099237	0.0527798742
a	0.0020494057252	0.00229900023343	0.00282893695022	0.00366457590908	0.06060204162	0.0337741074	0.0985022288	0.1652961228	0.353302572	0.2701786512	0.00750238712
l	0.000362782644623	0.000354825233427	0.0004778953867	0.00412946077596	0.03594962482	0.101214663504	0.1351907668	0.24547673	0.2458043932	0.166874672	0.064164187
ò	0.003153464646	0.002244580274	0.0048933028258	0.001913277718	0.02534898314	0.01249178048	0.05309680384	0.12897634	0.42874862	0.32476740734	0.01436539888
r	5.2466588388e-05	6.97313246e-05	8.173600656e-05	0.001307315238	0.00592158262	0.01561103166	0.02354435266	0.188586167	0.3161220178	0.382117684	0.0665859394
ù	0.00615973722598	0.002901246046	0.00160407727452	0.0034175686922	0.0064773157	0.00671573822	0.01605120754	0.0862794264	0.376272732	0.4582176168	0.03590327632
s	8.83392757486e-05	0.00010234395928	9.536791338e-05	0.00063667156494	0.002889706978	0.00223306788	0.01182944174	0.0836078064	0.2813479206	0.421704844	0.195464456
t	0.00929230254159	0.00512477043622	0.00308432419452	0.00464789662828	0.00829676579	0.00632479052	0.01780056528	0.1020807438	0.3013589108	0.479665988	0.0623229303
i	0.105215536637	0.0207498469211	0.0110109189495	0.0118841561723	0.0404128868915	0.108782390091	0.02202286972	0.1273542778	0.1247863294	0.15058967538	0.277191093532
k	0.000398210380912	0.000245676719738	0.000165751204075	0.000745258114958	0.00415060040433	0.0009840523722	0.00859174402	0.03823610792	0.15018291806	0.20036856206	0.595931108
u	0.0084309784224	0.00314362783773	0.00184007525461	0.00399853488599	0.0056642449412	0.00191318464	0.02858052052	0.0987057366	0.4259265254	0.3870034062	0.03479313754
</S>	0.00143956510463	0.000304258310687	0.00017889788479	0.00114517569915	0.00468114377644	0.0014541459972	0.01266489694	0.0370060062	0.143618687	0.255748482	0.541758728
