 	mi	si	gonfiò	il	dito	</S>
m	0.669989203864	0.0314262877528	0.016325610948	0.037033943137	0.00549019542168	0.23973477828
u	0.1245243424	0.2348456832	0.395342088	0.08847999381	0.113793684182	0.0430142246404
b	0.110900847841	0.291825463746	0.5306738538	0.028664823556	0.0317889684964	0.00614609210718
r	0.00772110622	0.04754547354	0.660946788518	0.1925617602	0.07359831454	0.01762660504
i	0.1594788995	0.468909838	0.21794082294	0.0578757154	0.0595078836	0.03628689363
s	0.073638418636	0.26110052376	0.369863229	0.232411813808	0.0096718905374	0.0533140678642
t	0.014016476056	0.04334868528	0.46390352282	0.2932108219	0.12564742668	0.05987306931
ì	0.0411347533446	0.20749669784	0.30898127538	0.2174152619	0.02463877298	0.20033324816
o	0.0199988133284	0.13392060223	0.33111708116	0.317491492978	0.16173669146	0.035735276492
d	0.00292684128545	0.0168047898596	0.204533183236	0.241797637558	0.516901752807	0.017035847942
à	0.0006956862188	0.0008270504516	0.21043775788	0.04135206332	0.70778522966	0.038902171496
t	0.000942973603392	0.0072077579174	0.34640841036	0.147936538241	0.397882249658	0.09962208062
t	0.010194857484	0.02821946116	0.2055229232	0.18105377	0.5165256128	0.0584833683
i	0.125834846654	0.073287048232	0.02978311868	0.248029356	0.2141308284	0.30893481358
l	0.0141106710031	0.0155010237999	0.220653241131	0.0677503542116	0.33835858648	0.343626109
o	0.0418957065475	0.00652071833884	0.186962724214	0.0357421793	0.598507576	0.1303711272
</S>	0.00510824546828	0.00534805686246	0.0272144993534	0.022701895772	0.191285065	0.74834227
