 	Marika	è	che	si	sposa	domani	</S>
M	0.584586343226	0.014404261668	0.00797161804978	0.178735171411	0.002980946884	0.00102916288898	0.210292530068
a	0.394216702172	0.19998313822	0.2495356502	0.061414207068	0.0786716103648	0.01296985374	0.0032088323
r	0.558056878	0.12224181768	0.16599894808	0.117403805754	0.0164880464771	0.0131927855483	0.00661772219801
ì	0.181720582054	0.116862434775	0.2839300595	0.02796569054	0.166129184194	0.0074835211496	0.215908538051
k	0.283514060304	0.59722835	0.1092000672	0.00595897886	0.0023160555492	0.0008967470306	0.000885709497294
a	0.039605909044	0.308989777	0.360518408	0.0911869384	0.09036694977	0.0376335716302	0.071698441642
è	0.0975029355866	0.5496918104	0.306537323	0.04191764802	0.002982083128	0.000226714242568	0.00114150033221
n	0.022384003001	0.1694349324	0.3379473714	0.1601494358	0.165492653446	0.140483366652	0.00410820444546
a	0.0428934132197	0.1179054579	0.3156517404	0.14641543692	0.18412380624	0.173808762831	0.019201394528
r	0.0675488401466	0.168782987357	0.2311424252	0.3665201912	0.10338846342	0.0370349411052	0.0255821180637
m	0.0166816242702	0.047681511914	0.1844171772	0.2000936622	0.2595077174	0.2067605038	0.084857783568
a	0.0882363697303	0.0476939878	0.3266775684	0.20112344391	0.21875347968	0.001818676627	0.115696509562
s	0.0287536084192	0.147819635279	0.09928153192	0.21103052148	0.2803211408	0.095767476102	0.13702609088
t	0.00970974029503	0.046006571758	0.15607333688	0.176792812308	0.240516252	0.2876731889	0.083228082366
ì	0.0267898329454	0.023699905514	0.1352541186	0.14798841908	0.38550261374	0.0098602579	0.270904860862
à	0.0137432172071	0.102023377807	0.03616203333	0.0455923318	0.2528314137	0.4554827537	0.094164874
v	0.000406506734748	0.00043222447478	0.000684537242	0.009514936998	0.13454025748	0.8186024	0.03581910706
v	0.0035000450308	0.00551829468	0.00823465616	0.00739505632	0.0956902248	0.5904573	0.289204423258
r	0.1182506268	0.0821169435162	0.10718033846	0.152173875317	0.11794727254	0.10355776966	0.31877316146
i	0.1796836453	0.0218392809498	0.0604366573912	0.15981800366	0.0436026466	0.14418479574	0.3904349921
</S>	0.00743749835093	0.0187215829371	0.00636336284295	0.016294550348	0.07144679696	0.0717828592	0.807953334
