 	non	ci	dimentichiamo	mai	</S>
e	0.711468685639	0.011016289766	0.0073012888148	0.0443593173819	0.225854477838
n	0.54220035744	0.3733604516	0.0623052933	0.0178608836655	0.00427301163798
è	0.206413162144	0.393912374	0.21734793942	0.017570918374	0.164755647223
n	0.2329771289	0.707944024	0.05356542466	0.001611582378	0.00390188237323
a	0.210438598976	0.5263862892	0.13365160368	0.112844721342	0.0166787980548
a	0.047557496377	0.891061068	0.05456378958	0.002560877792	0.00425671692881
l	0.00511834879812	0.395156236	0.5177134184	0.072365793518	0.00964622927591
l	0.005894610172	0.1022074376	0.537769790504	0.3441853348	0.0099428384
i	0.0309935183	0.4295721018	0.3554417056	0.15774767518	0.026245012186
m	0.0219684159288	0.2605265552	0.42100332376	0.11923787852	0.17726384124
o	0.0190280010952	0.17826093652	0.42639920098	0.3644318864	0.01188002096
n	0.0613739317899	0.3365888844	0.2820559545	0.17685299942	0.14312819592
i	0.010646353126	0.10957177656	0.30643525376	0.5506443948	0.0227022091
s	0.0232146855904	0.09240761416	0.40794687464	0.36837756314	0.10805326466
t	0.00376095915008	0.05825043272	0.312408907	0.542237436	0.0833422418
ù	0.00627354318052	0.04724564786	0.394045594	0.388303878	0.1641313538
m	0.00236208155137	0.013874824654	0.244629635534	0.596927367846	0.1422060752
e	0.0475287462612	0.20885719944	0.08689099058	0.6181067852	0.038616269
s	0.00774689468003	0.011732426344	0.190804860129	0.43573826794	0.3539775286
t	0.0137169123636	0.0278872806	0.110167691	0.755575434	0.09265270834
a	0.0111258674065	0.020833872228	0.10907393428	0.562063632	0.2969026836
m	0.00177407978887	0.0014501898176	0.136901069037	0.258667852	0.60120682
à	0.0080407431141	0.0282234874	0.097937807808	0.782089394	0.0837085632
i	0.00150537626359	0.0076936225592	0.145196913646	0.5132985306	0.3323055372
</S>	0.00373680592979	0.00688523281526	0.00529443691	0.338281516	0.645802042
