 	io	non	sono	ancora	pronta	bisogna	venire	alle	sette	</S>
e	0.53635716173	0.161077688572	0.00851650887	0.0448595064672	0.001846056062	0.0111139636392	0.00163520849426	0.00447950919407	0.0680500905426	0.162064314258
v	0.7836503176	0.0380254748	0.0035595738	0.0532234173512	0.000103058401834	1.7912170966e-05	0.000586777614458	0.00267419943687	0.11425248064	0.00390680648518
ò	0.617488398	0.176076497664	0.0173424669226	0.100044839008	0.00961251080937	0.0298422698659	0.0173045703166	0.0239044708833	0.00219939991558	0.00618460389488
e	0.1720317224	0.54423563	0.269174317	0.010564718618	0.00267699215897	0.000442935633126	0.000147587804362	4.89199434405e-05	9.66695368263e-05	0.000580545408357
n	0.189919895696	0.3773514494	0.202170407	0.13922167814	0.0296680937262	0.011260229846	0.00886788468054	0.0147012720318	0.0216692171844	0.00516987267502
ì	0.08932538337	0.2264972204	0.326603434	0.082753756164	0.0588320992448	0.0744299773369	0.0145109378043	0.010164978555	0.00787228708023	0.109009911777
m	0.012951109373	0.351108209	0.583922878	0.042386541588	0.0073346429976	0.00155103771023	0.0005380001962	4.55465091435e-05	2.33147049774e-05	0.000138756052842
e	0.0529536196624	0.245238356	0.317562824	0.10734917354	0.05945495942	0.0361170430506	0.0189089842434	0.0354039538832	0.109122510586	0.0178885226969
a	0.0145881658177	0.0956889137606	0.259977322	0.5587496766	0.063970643	0.0045747500456	0.0015058723662	0.000658827693274	4.52730549498e-05	0.000240572857512
n	0.00576226142459	0.0643554892622	0.12675198912	0.623326562	0.0406058634	0.054341204476	0.033148069216	0.0127656914497	0.033273449907	0.00566939265946
k	0.0234109187417	0.0458486789848	0.1283111144	0.32170703	0.0877572474	0.11404762608	0.02037101464	0.043708003956	0.022802671994	0.192035656339
ò	0.06185746134	0.16904124005	0.2288243802	0.30424841962	0.0637781742	0.09144099784	0.01663135309	0.021578985228	0.005876091462	0.036722927077
r	0.0109514277564	0.04752194671	0.156025099	0.354170753	0.310378948	0.0857793726	0.01541168198	0.01376158194	0.0037825300226	0.0022166432624
a	0.00901868680976	0.019335296332	0.0981122334	0.245559924	0.32810183674	0.0839414908	0.03854646616	0.05428762564	0.06379760538	0.059298852183
p	0.00500224322822	0.0243898036636	0.0751637570084	0.1117647098	0.562219618	0.1901236516	0.02513628792	0.005249301868	0.0004377376852	0.0005128957874
r	0.0123848455856	0.0063331665718	0.041437557016	0.119237981	0.30261475446	0.2697615342	0.06214931986	0.06113386026	0.107138422172	0.017808573692
ò	0.044848345513	0.014935019417	0.03128149928	0.1828302058	0.3502914234	0.1679662466	0.06739218538	0.0971807222	0.00848594848	0.034788404886
n	0.000479670883675	0.00488152049241	0.0161230430723	0.15520652166	0.27351689	0.355296902	0.0425324506	0.1185270148	0.01445291648	0.018983061674
t	0.00906334905294	0.00841802858888	0.0131401546286	0.0303957778	0.287159892	0.3019057008	0.08155930244	0.1083900076	0.13617149406	0.02379631358
a	0.0131125241203	0.00589255179518	0.0081870416842	0.07984632394	0.27387701754	0.2596194072	0.18846048263	0.1141447512	0.0272001223	0.02965978854
n	0.000265710058584	0.00328209899637	0.00857940521669	0.030483255594	0.161538104	0.477810934	0.16630532334	0.091047524	0.02451164954	0.03617599538
g	0.00394573479326	0.00741827537268	0.0044862498846	0.007833741526	0.0566016489008	0.47320869348	0.0449462076	0.1286176702	0.21241880534	0.060522960046
h	0.017546523772	0.006257152132	0.0089725284	0.07823140812	0.097296076	0.2811618144	0.187380286	0.1751287784	0.1182887966	0.02973664266
ì	0.00393825318556	0.005087878955	0.007288677162	0.0873063047	0.08751434044	0.4561104148	0.1471969864	0.1200243444	0.04628340192	0.039249407282
z	0.000125281551163	0.000537560126785	0.00124319484934	0.021113062302	0.0768452678	0.4672753714	0.05336560152	0.1802165146	0.1092412262	0.0900369164
i	0.0154174758747	0.0203787010082	0.022626760584	0.0243979895	0.139096051	0.3195829848	0.0472097336	0.0936819384	0.2821325516	0.03547583152
n	0.000209395826517	0.00192013143525	0.00329198038439	0.0110570752598	0.06370199084	0.3418306492	0.16570987288	0.2513290998	0.105321343416	0.0556284716
a	0.00301188952191	0.00203299091749	0.00192447862584	0.0036200228688	0.020511578626	0.12808091906	0.0497905248	0.362572106	0.364276152	0.06417929814
r	0.000132887723287	0.000497883756861	0.00157696488433	0.020131076692	0.133778372863	0.161764062	0.1898670932	0.2687061512	0.17264669766	0.0508988094
t	0.00347786094532	0.00398630603398	0.00336211008154	0.003244939217	0.027874978198	0.04988832304	0.0322595834	0.35395861	0.425080244	0.096867028
i	0.0155946234636	0.00427891280516	0.0047273364828	0.034559595204	0.0267831525	0.0775004126	0.11916734806	0.35696255	0.208676572	0.15174953516
s	0.000198365246684	0.00037507681876	0.00100536115348	0.0044626314868	0.0825939596696	0.15657750049	0.07728316628	0.237769963	0.2288687928	0.210865184
t	0.00045604557916	0.0011186929668	0.00412135255832	0.0084992922766	0.022577920006	0.042980042456	0.00826272314	0.314386393	0.5018868	0.09571069488
e	0.00737597249294	0.00178163716316	0.0071292126552	0.016291025916	0.01228326896	0.06045998512	0.07746320114	0.293057752	0.2853249512	0.238833006212
s	0.000164206084605	0.000301166748177	0.000749179938391	0.00289885566736	0.0482853586672	0.105034033324	0.049811162216	0.1541410744	0.2725009644	0.366113996
e	0.00033630279886	0.0008738259148	0.002913595205	0.0061535093796	0.0198584507593	0.033221848898	0.0052983356	0.2302726567	0.578253678	0.122817782606
t	0.000196847208848	0.000293396313792	0.00129447493816	0.00312537410714	0.0833780139566	0.1092326227	0.0253894516	0.146981833	0.43694273912	0.193165258
t	0.00120160580096	0.000809941182798	0.00223914416431	0.0027714074914	0.0172142291348	0.036866614252	0.00860177614	0.2057753726	0.615836782	0.1086831168
ò	0.0113747460775	0.0015827048852	0.004317068676	0.017679714108	0.01233821594	0.01328733318	0.0694521151	0.2281260672	0.37105167	0.27079033614
</S>	0.0012286616267	0.00021766630828	0.00030082502618	0.0006349216018	0.0105833303636	0.0135929599436	0.009444882316	0.0515772274	0.273959736	0.63845982
