 	ieri	abbiamo	deciso	che	oggi	andiamo	alla	spiaggia	</S>
e	0.465357195929	0.019786526044	0.01817415136	0.026500079626	0.042403797887	0.0102404422777	0.00760728792509	0.0619381018876	0.34799242295
t	0.664443005818	0.213195336116	0.103096623866	0.0097133492743	0.00059772439785	0.000548331439184	0.000514136368359	0.00780158271114	8.98975251303e-05
t	0.52634128928	0.2770038928	0.0197322001448	0.048277273859	0.0444471183991	0.0390135162575	0.00913622957496	0.00228612678716	0.0337623527685
è	0.817272946	0.1606491124	0.006403450194	0.005434288192	0.00126647173243	0.00739190477872	0.000117381478004	2.27820762681e-05	0.00144167860595
d	0.089668356552	0.890458354	0.00866218096	0.0096374874108	0.0012033277024	0.000181312771887	3.11197702454e-06	5.22046905449e-05	0.000133657194829
e	0.363393197278	0.24253576914	0.157994262	0.13511076006	0.071680946076	0.0187236625501	0.00311678266587	0.00477704005038	0.002667563496
c	0.0064825125432	0.568951216	0.404479618	0.013833898186	0.00517643948588	0.000616687573079	0.000133878340426	6.4226770816e-05	0.000261542008724
i	0.284699057487	0.135151797388	0.25268787994	0.16924902274	0.110881686642	0.0142584949228	0.00715869082281	0.0221100771143	0.00380332429316
d	0.0022466274484	0.5007543308	0.453717516	0.03054868466	0.0081675298632	0.000607804578824	0.000389447290927	0.000264719075329	0.00330337504442
è	0.048951986353	0.06538908414	0.485055126	0.1619327332	0.10377177844	0.041759457356	0.0622567865053	0.0164167560612	0.0144662766454
t	0.0006705786318	0.3075021486	0.507955564	0.098862297	0.07722548828	0.0056640560454	0.000474253512604	0.000645964870717	0.000999638221901
s	0.0153438441	0.0639046235	0.4053143332	0.2758731386	0.0846746642	0.06278751738	0.0279445988545	0.0513486446444	0.012808635167
a	0.066497121892	0.086769030496	0.55169592511	0.0599491355	0.03069870496	0.195453287322	0.002470804951	0.000356709032225	0.0061092523468
m	0.00251155825553	0.166858636356	0.24136439352	0.479727756	0.0831575792	0.014834015888	0.005569766591	0.000252894435518	0.0057234125103
o	0.36839039796	0.0598117242866	0.175024609	0.2169644628	0.07826402573	0.0362852064	0.0300649680708	0.0306678881387	0.0045267847552
k	0.0011906381487	0.114929959528	0.27617444234	0.436374728	0.1196159456	0.02410086657	0.00748774913	0.00108717057392	0.0190384942943
a	0.12693041966	0.0408310485858	0.1547071598	0.168500041	0.29559492624	0.0624661628	0.09941308012	0.0479302210928	0.00362693074
s	0.0022206877422	0.038818493498	0.22513893014	0.394794238	0.247294348	0.0655983913	0.01915488864	0.0027676749614	0.0042124142528
ì	0.00546088608	0.028879607678	0.1391534005	0.254269152	0.2983769188	0.0457957294	0.13658347	0.0648443366571	0.02663648598
m	3.7808399362e-05	0.0138957571194	0.06248986526	0.1850120062	0.56739803	0.1174597366	0.01373365008	0.0372383454721	0.0027348176302
m	0.020293010376	0.0378693764802	0.14117077876	0.111179194	0.3759470682	0.129131688	0.06747060052	0.0983320170734	0.01860626048
e	0.1082666939	0.007062807174	0.119206274504	0.07346362512	0.26501247	0.3231206896	0.05858907596	0.002172810562	0.0431055337997
r	0.00229884180802	0.0286241969528	0.0728659507509	0.08005348458	0.3573028314	0.189797122	0.2288375706	0.01373535574	0.02648460608
i	0.105068238042	0.0260864286235	0.079653862608	0.0313693522	0.352999156746	0.1514492272	0.20217733066	0.0429235482564	0.008272851654
p	0.00016657238498	0.0162651992061	0.0595495265549	0.03790570856	0.2228657584	0.280801916	0.3540174553	0.0206153502	0.0078125012
à	0.0242793790857	0.0078809485222	0.058062514151	0.035601560394	0.28159264876	0.1994978714	0.2388286516	0.13324929256	0.0210071901
m	9.78752233432e-05	0.004449825258	0.0153553839656	0.02200130026	0.2140616036	0.3455599114	0.1426932058	0.24045559314	0.01532534
e	0.0076911485106	0.0202912927159	0.049316234032	0.03568475132	0.13423753	0.3307077232	0.1337685038	0.26166474596	0.0266380822
s	0.00023251552522	0.00722309279743	0.0174469263844	0.0309136966376	0.09039440526	0.2111916042	0.336963188	0.2356856244	0.0699489664
t	0.002060851896	0.00853497935319	0.0272360060024	0.015526799148	0.1427941926	0.1653939042	0.398463583	0.20452607394	0.03546359546
i	0.025105921794	0.0050790703448	0.002712651178	0.0091941119792	0.0469684264	0.354625412	0.4382119328	0.0646729991	0.05342949036
s	9.71793045202e-05	0.00286105250648	0.0174935470056	0.00614920405886	0.043210447304	0.14519101832	0.41265742	0.2174097808	0.154930345
p	0.0011219084054	0.0105879611527	0.0362043862536	0.0098468763858	0.06243806444	0.1115771794	0.3694705	0.2756521684	0.12310096572
i	0.145895979136	0.0344617754654	0.015202021366	0.00820496806	0.04209946622	0.2906165866	0.2571158396	0.12590779972	0.0804955676
à	5.59809900332e-05	0.00175310423894	0.00956908600403	0.0034577559754	0.01353618978	0.03506307592	0.310603596	0.305259652	0.320701542
g	4.52187127896e-05	0.0020713530362	0.00101684366223	0.0010222192048	0.032779583176	0.10771771354	0.16412413404	0.6287121684	0.06251076246
g	0.00086272642712	0.0114412448876	0.0852552686924	0.0100060462434	0.02678982636	0.0696378592	0.200546156	0.488234822	0.1072260434
i	0.048781976216	0.008629482104	0.011860723854	0.004357384312	0.02275789044	0.3232270367	0.1568328332	0.3280832228	0.09546946948
a	0.000122407949604	0.00104007413521	0.00317493662819	0.00378646207568	0.006156323926	0.039960654678	0.20100471934	0.533573514	0.211180888
</S>	0.000820802421219	0.001404461907	0.00164138334008	0.0019057205309	0.0028788591188	0.0093694370272	0.0904121066	0.557633708	0.33393353
