 	lo	posso	finire	di	fare	</S>
t	0.581998986203	0.0563918884102	0.012719833548	0.0067572767348	0.0168478604044	0.325284143364
o	0.69758834	0.07556006404	0.11086300388	0.051099670246	0.0535615953866	0.0113272775405
s	0.514085714	0.4105344788	0.0605965268	0.00619383399	0.0001981250088	0.00839128464398
ò	0.16295776664	0.4259233254	0.18554699038	0.040070639312	0.177826001853	0.00767529406851
z	0.1519545338	0.714968144	0.1256848193	0.0058766321146	0.0010076920205	0.000508204390617
o	0.28635719204	0.2419989094	0.14187538206	0.143528666068	0.023709837824	0.162530049277
s	0.136692174048	0.526849328	0.27628935	0.0548831023	0.001309241742	0.0039768009094
p	0.02839394764	0.2697685188	0.364812768	0.23741082814	0.072034025936	0.0275799500241
i	0.3493762081	0.1818877552	0.3251931223	0.0545923348	0.059556185413	0.0293944340423
c	0.0172114028127	0.2166718106	0.5635049492	0.1578189782	0.02741761904	0.017375242968
c	0.0043140272378	0.04965096842	0.40644069966	0.2228725052	0.284191	0.032530754668
è	0.28511655162	0.1110675818	0.22419370268	0.09621632756	0.1478105083	0.13559532728
t	0.00631180292	0.1387260184	0.445027988	0.170440118	0.1692133398	0.070280731746
s	0.0930575496	0.0532010469	0.484288426	0.1467786748	0.1806537796	0.04202053948
i	0.0857908557034	0.11140152134	0.2933239048	0.1123702808	0.16440939492	0.23270400182
t	0.000880874541627	0.018058872887	0.11040917028	0.571472462	0.089386854	0.2097917948
s	0.001375305626	0.033590267746	0.28380756495	0.330485400926	0.2696155961	0.081125871
è	0.03639515812	0.040461684776	0.2113713306	0.221857344	0.3218188408	0.16809566692
k	0.000235151870551	0.0021567968266	0.02786559612	0.307247481	0.428211134	0.2342838394
à	0.0109865207876	0.0391400961786	0.1675555372	0.2616501356	0.4019098884	0.11875782104
m	0.000114205998938	0.0007480132354	0.00745496352	0.055687241	0.6209351	0.3150604958
i	0.041895565672	0.0306875724242	0.1867956813	0.1698645946	0.51157374008	0.05918286754
</S>	0.000961893358744	0.0243569008966	0.0110346202312	0.0432265816	0.2081458918	0.71227409
