 	il	lenzuolo	vuole	lavato	</S>
o	0.689576061824	0.00432868714988	0.00236459467474	0.0099355843221	0.293795028506
p	0.320691900907	0.4523858844	0.193954867	0.007341159931	0.0256261854257
l	0.098692159728	0.17683357214	0.34306144134	0.330618797003	0.050794040442
a	0.4502571224	0.354194047939	0.128107900854	0.0545314736212	0.012909450608
ù	0.05198657088	0.799422324	0.1287478548	0.0045589528808	0.0152843329195
n	0.00397011309332	0.483005604	0.509519744	0.00232323584286	0.001181332812
a	0.03747661216	0.2784357472	0.332010983	0.3156998378	0.0363768592
t	0.0661346355788	0.3506360636	0.524091368	0.0389872877	0.020150606734
è	0.011618052144	0.0851268778	0.5044651864	0.3271730978	0.0716167473
l	0.002223902929	0.1582280884	0.651866862	0.1350143988	0.05266671692
i	0.16712070138	0.08749296336	0.3235044332	0.286549369	0.13533248178
p	0.00643458980094	0.074972502575	0.391994061	0.3163322276	0.2102665934
l	0.04383871512	0.07415311513	0.2766809264	0.4567062956	0.1486209448
i	0.27360687512	0.01321723856	0.1203481612	0.51897142	0.073856322966
m	0.000664848231938	0.0069904900733	0.0403946125	0.5417404964	0.41020956
è	0.01369358912	0.02508674158	0.0332069299	0.809331702	0.1186809862
n	0.000583141986805	0.008351887496	0.070275897832	0.5050082187	0.4157808404
o	0.300380793607	0.008510741218	0.05487313374	0.4807520072	0.1554833186
</S>	0.0017545513282	0.00271313317404	0.017957077726	0.24199493812	0.735580304
