 	io	la	casa	la	posso	pulire	ogni	sabato	e	mia	mamma	la	puliva	ogni	giorno	perché	lo	poteva	aveva	la	possibilità	di	pagarlo	ogni	giorno	</S>
e	0.355538997796	0.181698303706	0.04574489944	0.018605585954	0.016067600844	0.014361307954	0.004460420669	0.0119993155586	0.0129126523874	0.00702893782366	0.0187271146398	0.0103344628214	0.0182048161335	0.0139359340801	0.0113642433689	0.00261106721643	0.0406800668974	0.00714818117959	0.00568050706337	0.00524738209027	0.0121562345932	0.0120060827448	0.0137108014832	0.0111844713536	0.0390386516032	0.109551964627
v	0.77937476	0.1227030102	0.01581919344	0.002618518632	6.27336896e-05	0.000158854704977	1.74152868528e-05	1.70524467861e-05	4.85207870174e-06	4.18899924854e-06	4.857745185e-06	1.86543540381e-06	7.37881428207e-07	5.57005613938e-07	2.66733788151e-07	9.26910108274e-06	2.05931190508e-06	2.90170467187e-06	1.25655570324e-06	1.90449024419e-06	2.62668054995e-06	6.75950508744e-06	0.00014780462288	0.00138675153361	0.00391151425398	0.0737383111961
ò	0.614488759	0.17472123789	0.0536048418144	0.028035631502	0.020425352032	0.0295265595922	0.00648210015836	0.018468922359	0.0195876346355	0.00629923642746	0.00599358676158	0.0092872362352	0.00236753064417	0.000256976781843	0.00063151465407	0.000168274634567	0.000314010590645	0.00190492686571	0.000128803543511	6.27063809728e-05	2.58669152252e-05	4.78219304382e-05	0.000149914022959	0.00108910927349	0.000966208815505	0.00496520289294
o	0.1910012791	0.4728835148	0.122735629592	0.015531208148	0.0020817972448	0.000161786434236	0.00011799220744	5.9712144951e-05	8.150227606e-06	3.676527163e-06	5.15644490732e-06	1.32095745922e-06	6.9314816616e-07	5.8490216802e-07	1.7828034808e-07	1.4493819582e-07	1.28501807983e-06	1.19994696411e-07	5.74358472444e-08	1.57786912874e-07	5.83249186796e-07	2.89217136979e-06	0.000398537514635	0.000201901576807	0.0012208405203	0.1935808577
s	0.13842407746	0.3882459652	0.18587271828	0.05994352726	0.0203958313512	0.00918118353503	0.000199543948219	0.00112620417862	0.000205968238894	8.01656790782e-05	4.26521168119e-05	2.55172766777e-05	9.05223743635e-06	6.23389560352e-06	6.24919212631e-06	6.18600421341e-06	2.2249182376e-05	1.71759156029e-05	2.86088025785e-06	6.03662794846e-06	1.2972090842e-05	0.000222421951469	0.0262899526649	0.0218667786695	0.00256218845409	0.145226303135
p	0.03680907104	0.3595256428	0.22304547604	0.119845948	0.031470279268	0.0606944968664	0.0326700005472	0.0188264692969	0.0341365788571	0.0299582978392	0.025924415987	0.00977264637354	0.00592599018218	0.00123489069772	0.00217534368508	0.00389331910383	0.000216078114703	0.00107224941613	0.000883362460567	0.000468743716814	0.000153506587284	9.87061643624e-05	7.31541654234e-05	2.192070921e-05	0.00011372364733	0.000989679774482
ì	0.0425375888	0.444091276	0.170032465	0.1204981514	0.024191267492	0.0595442806754	0.00760984924202	0.0171758106571	0.04259194685	0.0116725757341	0.0139235372578	0.0226795535573	0.00948417882678	0.000655438650208	0.000928399044735	0.00302572837049	0.000525413961456	0.000290901755625	0.000119565053879	1.94647438093e-05	7.04468960951e-06	1.75934866007e-05	1.70884160514e-05	4.01074073618e-05	2.37721782162e-06	0.00831838268467
t	0.02124576595	0.376086528	0.4031546038	0.0907419138	0.0214103269	0.00541593942508	0.0593936280244	0.00068655483718	8.6921997794e-05	0.000154557037102	6.9170036974e-05	2.10347111098e-05	1.63720319752e-05	2.01684020925e-05	1.34910023335e-05	2.65260728254e-06	4.60147355948e-06	2.81609808994e-06	3.02295649588e-06	2.06388213766e-06	2.23356005562e-06	6.6191243476e-06	0.000356202611896	0.000196429848576	7.55090241275e-06	0.0208988036158
i	0.00809756926831	0.282861302	0.27731098692	0.2347854816	0.0124860785612	0.02889012382	0.0156909179397	0.01147563191	0.0203037196516	0.0131004546557	0.00801730023779	0.0176249045551	0.0114909354305	0.00519157312255	0.0160272397705	0.00178774392392	0.00518322177306	0.00505187854041	0.0083997210028	0.00424634407428	0.00299979101136	0.00205205307152	0.00111063192908	0.000565544673944	0.000369901222577	0.00487894027639
o	0.0251160157226	0.1401008644	0.165015096	0.533262516	0.115487028484	0.01059684982	0.0045858077	0.00125327516424	0.00149448701358	0.000759366145462	0.000615508093336	0.00048389731445	0.000187735809188	0.000134141697126	7.88811770627e-05	2.27084834282e-05	7.70044532439e-05	0.000216934467891	6.04298660123e-05	4.3090904466e-05	6.5378755164e-06	4.97889624955e-06	1.08944294978e-05	1.00493784521e-05	2.21327209565e-07	0.000375686353357
