 	non	ho	cosa	a	fare	</S>
e	0.649636323056	0.0396129155174	0.006221429695	0.006076819562	0.020352099394	0.27810039193
n	0.67885437294	0.1019292136	0.19715647372	0.0204443902	0.001191012241	0.00042448294849
è	0.07675230056	0.256529216	0.221473318	0.1356655266	0.176950166504	0.132629425447
c	0.074209513	0.599047	0.2846389152	0.037563035354	0.003753045212	0.000788488746
h	0.0196420508	0.2403652752	0.410765498	0.2140177676	0.0860609724	0.029148413608
o	0.0962614909	0.524425982	0.207981277	0.03748877886	0.00653760868	0.127304846243
t	0.0361022608835	0.1671831282	0.6102916232	0.1728051498	0.00536991704	0.0082479127688
i	0.0204244809328	0.0877618304	0.46287475	0.246924632	0.04564665162	0.13636769128
k	0.00535802866537	0.084111576122	0.2647627956	0.539595688	0.0646939396	0.0414779925
à	0.0065526480861	0.026053496724	0.0704603702	0.2716219826	0.37966644576	0.2456450301
i	0.000766795355344	0.0049538698676	0.01528039522	0.0832651788	0.786981214	0.10875254548
</S>	0.00231501141134	0.00297159120794	0.01509895256	0.0857529096	0.4114452288	0.482416332
