 	non	deve	magniare	la	sera	</S>
e	0.666106278326	0.050865334186	0.0010159582054	0.009680700182	0.0077853582344	0.264546372937
n	0.69676869766	0.22269666	0.0591925686	0.016986828066	0.00156178201373	0.00279349463795
è	0.11455243094	0.2456301374	0.291792001	0.05563086016	0.170035697329	0.122358908118
n	0.07510223668	0.483901126	0.4142055124	0.024242276864	0.0022164279738	0.00033246532306
a	0.02844848576	0.4271555852	0.407380214	0.075605868	0.055818389334	0.0055914309792
f	0.0135882522724	0.272137219	0.609324164	0.0793599474	0.0018080719332	0.0237823478127
à	0.012575057904	0.0447590739	0.59378696	0.1368120554	0.20763702479	0.0044298746152
i	0.0151034617782	0.036685958414	0.778884932	0.0993087666	0.0416705626	0.028346334384
t	0.0145457906381	0.028499499246	0.333163286	0.366658704	0.076886615	0.180246119628
o	0.00321480909808	0.019857406122	0.1451452866	0.34108915	0.447125758	0.04356759226
v	0.00513067659258	0.0197133120834	0.1620206899	0.3884890226	0.3530282818	0.071618049934
r	0.0005326265944	0.00805418826	0.17245705244	0.284723379872	0.490273091	0.04395966374
à	0.0134145325626	0.004743853594	0.00872125254	0.27034718116	0.5695764412	0.1331967402
i	0.0104637073252	0.0115056394576	0.1267107966	0.0799937706	0.35510279	0.416223296
</S>	0.0226955686822	0.020413747332	0.05326159969	0.074548661	0.480996063	0.348084364
