 	l	ha	scritta	</S>
t	0.629314156428	0.0189548553594	0.060777243746	0.290953781264
o	0.567229154376	0.339291858	0.0819245034	0.0115544753774
è	0.19981382174	0.76821341	0.01952497144	0.0124478002928
g	0.0329848184442	0.91060206	0.05344950024	0.002963607238
r	0.051331981159	0.443702598	0.4793042986	0.025661150728
a	0.27635096696	0.432195459	0.07612451674	0.21532904206
t	0.0555660696334	0.668206752	0.192262321	0.083964838
s	0.0308599494	0.4160094296	0.531619902	0.0215107212
e	0.1549178236	0.35685745	0.2656680824	0.22255662428
</S>	0.000721359434	0.0303976708	0.215748854	0.753132116
