 	ha	che	sono	usciti	</S>
è	0.739886312455	0.0080838833426	0.001171764824	0.0096385281788	0.241219513364
n	0.298771575	0.3887514468	0.161425496961	0.148051094536	0.00300035428049
a	0.337292826098	0.305220472	0.1638083826	0.182750513714	0.0109278030596
g	0.03504907346	0.7861354	0.16466653512	0.00891301380894	0.00523596040524
u	0.205310502739	0.17561197868	0.09182005374	0.516668260434	0.01058917185
ì	0.0353422474004	0.456118438	0.436455359	0.0317379364	0.04034604774
k	0.002542501856	0.1126497038	0.48807496384	0.318435483	0.07829733942
a	0.12648584744	0.1643591112	0.3576869848	0.28875558634	0.0627124828
n	0.0213086158025	0.09635301823	0.48583366	0.1823213952	0.2141833208
e	0.046079264624	0.05306438496	0.6078524578	0.1667279676	0.1262758844
</S>	0.00543427488779	0.012538003905	0.0932799376	0.3225416066	0.5662061836
