 	sto	e	cucino	</S>
e	0.609978803075	0.0347753807794	0.154445910778	0.200799886561
s	0.6970314566	0.184120380992	0.088522645752	0.0303255130614
t	0.522575647	0.283134732426	0.162941122188	0.031348495816
è	0.53711629138	0.26118094834	0.200787467498	0.000915254626
c	0.35840226234	0.621480094	0.0034834935	0.0166341377412
e	0.377949866856	0.258410467184	0.3613231443	0.002316472254
m	0.100263412267	0.55107168	0.1691990642	0.179465795734
a	0.0182925175	0.22176733946	0.729510386	0.03042975824
r	0.0376919983672	0.43177081211	0.356644239	0.17389293088
è	0.026904649388	0.304330418494	0.534414906	0.1343500504
o	0.0275425566137	0.1898310846	0.749697606	0.0329287556
</S>	0.00694417186179	0.04256408276	0.379239182	0.5712525714
