 	vogliono	girate	</S>
t	0.676560193386	0.06501343534	0.2584263876
è	0.640715910306	0.331917355	0.0273667314806
l	0.7840916538	0.01819139168	0.197716958909
u	0.5214730628	0.339564029546	0.138962919612
n	0.393112922938	0.2755049674	0.3313821114
e	0.4252485913	0.5345395462	0.04021187582
v	0.26042636188	0.512652576	0.22692104
o	0.231836566844	0.6873738756	0.080789589
t	0.128161298246	0.451153901	0.420684808
i	0.206545786605	0.646791938	0.1466622626
m	0.0619319420086	0.452961504	0.48510653
m	0.05437845728	0.762773064	0.18284843974
è	0.333806321264	0.471787336	0.194406321524
n	0.07361624764	0.473486128	0.452897592
e	0.344795611674	0.4943969948	0.160807408
</S>	0.00211486877814	0.14262095732	0.855264156
