 	non	aveva	da	stare	</S>
e	0.681190835849	0.0689516118978	0.020465476282	0.04130274264	0.188089329851
n	0.68553106426	0.137180287	0.14281661916	0.0337953216274	0.000676744531094
ì	0.08269469894	0.4983757134	0.22067384084	0.179783534793	0.018472197874
c	0.047051203832	0.897959158	0.048345761045	0.00538744650989	0.00125641522534
h	0.0248305838672	0.672914562	0.1431982118	0.157619658219	0.00143697934
e	0.14532739801	0.595868398	0.2079535846	0.013327945188	0.0375226841862
n	0.0533909706426	0.312666167	0.588183986	0.022940266462	0.022818607959
a	0.0136411371609	0.132217164	0.644814376	0.176612315626	0.0327149766274
s	0.014996431736	0.17808596804	0.470625284	0.288688735	0.04760354794
t	0.020615282947	0.07345713938	0.3359669336	0.3938939174	0.17606672956
a	0.0087144899183	0.02403274398	0.36589662234	0.5521053794	0.04925076638
s	0.00595384783766	0.0558084618682	0.08058952668	0.50381779972	0.3538303792
ì	0.00955156168012	0.111292655351	0.0906530633746	0.549700613607	0.2388021034
</S>	0.0140429802227	0.001552025162	0.0109240796828	0.11966124738	0.853819668
