 	mi	si	gonfiò	il	dito	</S>
m	0.669989203864	0.0314262877528	0.016325610948	0.037033943137	0.00549019542168	0.23973477828
u	0.1245243424	0.2348456832	0.395342088	0.08847999381	0.113793684182	0.0430142246404
p	0.110900847841	0.291825463746	0.5306738538	0.028664823556	0.0317889684964	0.00614609210718
r	0.024173615924	0.04338752636	0.64477992752	0.18868482118	0.047832210148	0.05114187902
ì	0.13479201832	0.612181064	0.17430120802	0.0470355669	0.014933481728	0.016756667142
s	0.135161411753	0.226172224686	0.40301315694	0.201537635622	0.0234375574907	0.0106780040643
t	0.02001843294	0.0876580088	0.6498899738	0.07587212386	0.1548967789	0.011664670884
i	0.146544593029	0.24357543056	0.357177334996	0.1591926876	0.013110481814	0.08039950902
t	0.0685165282826	0.149221466068	0.23029247256	0.461865567064	0.06982372213	0.02028024304
o	0.04706381997	0.03392115402	0.22299079543	0.3501358173	0.2943133866	0.05157501458
d	0.0082812539788	0.115429963307	0.174863783004	0.2818910558	0.35948174222	0.0600521975992
à	0.0066741994406	0.0014021326482	0.20169305477	0.17255302802	0.562587295696	0.055090285456
t	0.000583331918828	0.0060552905368	0.324394582682	0.113084942426	0.438877915107	0.1170039366
t	0.0140930957784	0.0304941533	0.2088438336	0.2171364776	0.4785952908	0.0508371044
i	0.169876436072	0.0554958796	0.01956849176	0.2568774892	0.1957946492	0.30238706526
l	0.0147229687866	0.0152263938951	0.211966615334	0.0572108665614	0.31791662978	0.382956539
o	0.038000903456	0.00742052981888	0.18564855782	0.04357866	0.5733587236	0.1519926092
</S>	0.00440519444769	0.00523634625504	0.0203425990753	0.02373882045	0.1644593994	0.781817622
