 	hai	già	mangiato	</S>
ì	0.727918322788	0.0137293846544	0.023044059003	0.23530821667
s	0.706349938	0.2912278826	0.00142388870984	0.000998331446398
e	0.57422775332	0.3686096158	0.033201451606	0.023961158716
g	0.11201901394	0.882333748	0.003530459964	0.00211679966218
i	0.345346689776	0.1673060662	0.4472978172	0.040049427096
à	0.038492620076	0.70094269	0.20180086846	0.05876379773
f	0.007323096895	0.3412680234	0.5762653104	0.0751435819
a	0.037773323	0.1916709774	0.70373306	0.06682266254
m	0.00693363513162	0.20784131594	0.5234020288	0.2618230076
è	0.014225146222	0.03870098	0.824411314	0.1226625453
n	0.00586212386036	0.02611440694	0.696368558	0.2716549414
a	0.0330727665073	0.0258120768	0.747750218	0.19336495206
</S>	0.000680477232813	0.0060575816706	0.1700274557	0.82323447
