 	questa	canzone	è	scritta	da	un	poeta	nostro	</S>
i	0.691756467489	0.0184073779318	0.0356085265696	0.027143611834	0.0060678142076	0.00379480359191	0.00806383710569	0.014671443656	0.194486082753
s	0.737232934738	0.23954039249	0.0030540901968	0.0004272273818	0.00027115058152	0.000760505340907	0.0112801008722	0.00418128764104	0.00325229141243
o	0.54034695502	0.22382753434	0.023981763928	0.0140335839984	0.004017174834	0.00188952077342	0.011577814146	0.007816274262	0.172509392949
t	0.684971999474	0.2761173092	0.0281483023614	0.0040617437719	0.00152632852343	0.000248785495891	0.0032082874482	0.000649514674252	0.00106771342141
r	0.390128100388	0.2233537572	0.04008982312	0.134928056794	0.0263561694182	0.0107064565458	0.00658820961651	0.0172428055576	0.150606602239
a	0.682173554	0.08406354844	0.02494973786	0.011877636846	0.030930548148	0.154379870413	0.00476771808313	0.00031681714334	0.006540546708
ù	0.320951414564	0.465694532	0.141213544	0.0182404267	0.016993718112	0.0004698110543	0.00352805506968	0.00402477335566	0.0288837081707
d	0.0157133892541	0.765536532	0.0948421337	0.010777560328	0.002616988254	0.0547677470773	0.0436350443485	0.00627516149866	0.00583543174477
i	0.051391274288	0.21380481548	0.2265736296	0.2508660079	0.031502397644	0.0230945559801	0.0198054575092	0.169145741401	0.0138161305772
è	0.0193807847932	0.0991068122	0.632832996	0.186555856	0.05749228622	0.0021917249266	0.000839502864391	0.000487873737912	0.00111214985987
n	0.00169037874021	0.1820533078	0.4813267246	0.144645595	0.01290460802	0.137919785496	0.0377221656233	0.000868387321227	0.00086905812042
g	0.005792223082	0.07176000814	0.1872676032	0.399100467628	0.03957022072	0.0644745582104	0.0231477225465	0.190980454738	0.0179067451857
r	0.06207873969	0.020249712179	0.19081677128	0.332577198	0.04784476764	0.210273317552	0.0910433631478	0.0148452852798	0.0302708236891
a	0.197994304067	0.007491518628	0.11351418972	0.28066473462	0.0204858028	0.19706708459	0.109145100856	0.0289854577377	0.0446518266173
m	0.00370148250851	0.0110084597088	0.1338572434	0.407716072	0.346088602	0.043393380332	0.043130880284	0.00273465841084	0.00836919425033
m	0.0075894397052	0.014512641298	0.03594817996	0.43443872734	0.1110921068	0.04928924816	0.029057524764	0.308754138844	0.0093179484156
è	0.159373061512	0.00210059823154	0.024185309054	0.203139029	0.05336335032	0.230863145221	0.126760228528	0.0139062368128	0.186309075472
n	0.000699140003901	0.00203572499	0.0641834516	0.432080592	0.143268068	0.135803492	0.170723847854	0.00634401542288	0.0448616586214
o	0.0686716569001	0.0081165081675	0.09072593858	0.3754851144	0.0817560514	0.043182676	0.08995532842	0.222561378877	0.019545394545
p	0.000601299927573	0.00116895978014	0.023857898448	0.1916050944	0.488241804	0.14402350674	0.10918946406	0.0134264953312	0.0278854686132
u	0.00376799433254	0.0055573717184	0.032858802568	0.3731328002	0.15794339934	0.0612535496	0.0714270418	0.2817155936	0.0123434415
s	0.000468975204884	0.00198089746236	0.01203238696	0.1927224164	0.44428972	0.169075525	0.15440408834	0.0107723593216	0.0142536572755
s	0.0058543055115	0.0171631785818	0.02715063006	0.2426337776	0.20697384432	0.09626803396	0.04320807004	0.310394090287	0.05035411628
è	0.022539707136	0.0014908750112	0.01102903128	0.0962422566	0.3526046876	0.2714208218	0.1240025624	0.0619634726488	0.058706610596
n	0.000106077423114	0.00030268903972	0.001598778652	0.0255840198	0.17029301008	0.293645759068	0.3019967016	0.14794401528	0.05852893438
a	0.0051120126887	0.00536726843622	0.012474813166	0.1172277216	0.166891074	0.2641626258	0.1333181732	0.2702471008	0.0251992203
p	0.000147667635298	0.000382841064629	0.00902400783236	0.13574069882	0.1389982534	0.282165814348	0.2954764496	0.026563441028	0.11150082962
o	0.00338348879524	0.00451328222342	0.013725609042	0.062539647	0.1047240416	0.20445709	0.288956214	0.29870581098	0.01899482104
è	0.000764554249676	0.00192283849521	0.0050524706979	0.141620778776	0.0957625976	0.249219192236	0.3726329584	0.0509352523	0.08208934794
t	0.000281735616258	0.00063643749384	0.0009916763449	0.0072586887196	0.053329082594	0.264076575244	0.442400624	0.20816223728	0.022862921424
a	0.00366296939013	0.0101978426558	0.0235861900783	0.157565738324	0.0798033858	0.21633469	0.18385521808	0.29906948766	0.025924450872
d	0.000244996146736	0.00122716712853	0.0072348613019	0.145997160365	0.03606307132	0.06583760533	0.3381315114	0.163119185	0.2421444164
i	0.00946011834866	0.0101592488998	0.038363924688	0.08254313594	0.06209990172	0.1093644202	0.347139984	0.3180851651	0.0227841266
k	0.000847560499942	0.0013451276441	0.0053081954618	0.130447469067	0.03000060396	0.06150884342	0.2619552896	0.2179387908	0.290648148
ò	0.004119523084	0.0043363837118	0.014146716634	0.0520758385	0.03647572694	0.1183609524	0.2071194	0.53585300752	0.0275124264
m	6.40285014624e-05	0.0001249704757	0.00014384345294	0.0022151769071	0.001252263904	0.0267314514613	0.254472712	0.64149418174	0.0735013454
m	0.0022391738248	0.00312613533844	0.0108462987072	0.142299654226	0.030003235	0.0550587752	0.27820208794	0.3379530586	0.14027158854
a	0.0425821487864	0.0120487866464	0.00129317126031	0.068563697898	0.031040948375	0.196724868434	0.2924707976	0.13927599722	0.215999590338
</S>	0.000359591308997	0.000186357248874	0.00179493671224	0.0191340590513	0.0050039788764	0.0217936552879	0.0729698264	0.07102857166	0.807729004
