 	deve	essere	bianco	</S>
è	0.695659406463	0.0131310534628	0.003701192026	0.287508312461
n	0.3778200936	0.614663554342	0.00493796498962	0.00257841979287
a	0.332638895	0.59770337	0.04375573749	0.0259020196976
è	0.1541195567	0.815501862	0.029076400618	0.00130216398186
n	0.012544874892	0.833432858	0.147382960538	0.00663932409556
e	0.054788540012	0.616068314	0.214435576	0.11470753648
à	0.0716381024078	0.702446144	0.16124888608	0.06466686476
s	0.0006912425968	0.53626388986	0.428466891565	0.0345779963594
p	0.014252476412	0.164132639	0.654016978	0.1675978697
r	0.0664481961949	0.017254381514	0.6036626512	0.312634769758
o	0.310797800294	0.01607788764	0.3430771266	0.330047178236
</S>	0.00804890408164	0.022334295318	0.25401293994	0.71560387
