 	non	sapeva	dove	a	stare	</S>
e	0.657085199206	0.0602068818707	0.0043952823224	0.007259364714	0.0347217076752	0.236331560124
n	0.63117752372	0.202761136854	0.0303405494	0.11750446846	0.0166278706054	0.00158845603787
ì	0.09076520044	0.3940913487	0.2357825958	0.09357316002	0.126637967394	0.0591496828166
s	0.123131154292	0.7662218408	0.10563382952	0.0029205326066	0.00165794121812	0.000434708935118
s	0.036605575734	0.5633156382	0.2877016032	0.09014720642	0.00720939309786	0.0150205970028
e	0.0411527578973	0.645524776	0.233735568046	0.05978799807	0.0035383741106	0.0162604948852
r	0.105827117242	0.328561469	0.5345607328	0.01997380834	0.0039012276614	0.0071756554452
e	0.01294449157	0.3446662946	0.330620854	0.2650582186	0.0365327300276	0.010177386538
p	0.0516075846207	0.1071641229	0.593109686	0.2048028152	0.033917647826	0.009398160824
u	0.0022991631906	0.03309214802	0.3393601802	0.462691734	0.072830166174	0.08972657796
n	0.0144954723268	0.02038713726	0.3363705028	0.3117515096	0.27071867072	0.0462767292
a	0.00473480227856	0.05946455952	0.17970096012	0.3854638354	0.28216312846	0.0884726994
s	0.00575360281439	0.003963433612	0.212284309686	0.2632132936	0.414463964	0.1003213746
t	0.0039322701189	0.011711355972	0.171644819256	0.39107306346	0.278990553152	0.14264798028
a	0.0082336700026	0.03152376526	0.13366379182	0.2140923546	0.5305481334	0.08193829184
s	0.00362074043523	0.0113787641744	0.089461620148	0.05014686324	0.4390410044	0.4063510472
ì	0.00256122028293	0.0037535657202	0.188102708034	0.032081783298	0.519079145743	0.2544215886
</S>	0.00275906461611	0.0006347669992	0.0102578950192	0.02670654595	0.0874201695	0.872221546
