 	venne	scritto	</S>
ì	0.74837453324	0.02189787936	0.229727608513
r	0.98327998	0.0056149402466	0.0111050889311
t	0.43344953244	0.29753164563	0.269018847398
e	0.38941737086	0.440232596032	0.170350019201
g	0.501095347	0.2832974946	0.215607153888
r	0.30249957136	0.51413858826	0.1833618694
a	0.2394190588	0.633651962	0.12692894832
m	0.0698844681	0.4254196867	0.50469583
m	0.07311464224	0.6909655778	0.2359197708
è	0.0590978159588	0.5409080778	0.399994072299
n	0.0138276170652	0.377793160112	0.60837926
o	0.376169196117	0.2633815466	0.3604492356
</S>	0.00828302263188	0.172988721998	0.818728294
