 	che	non	li	aspettiamo	</S>
n	0.498311447981	0.0194865877853	0.002545537579	0.0540380746896	0.425618339446
a	0.4705335568	0.3230076304	0.114311621	0.0245348740205	0.0676122762865
m	0.1760974052	0.455449714	0.353123612	0.005242365654	0.0100868968356
i	0.15787908122	0.271539337	0.2202200336	0.2761455344	0.074216022936
t	0.07871596862	0.435091066	0.432660176	0.017683903346	0.0358488854736
u	0.19851892302	0.1240813786	0.21690818158	0.41591175978	0.04457979488
s	0.045395500222	0.407863752	0.5210052488	0.014706174066	0.0110293221862
m	0.020528799804	0.05484495716	0.246413532	0.5581980549	0.1200146719
ì	0.4335887126	0.0843755122	0.0459839314	0.2393375048	0.196714319504
n	0.03656578878	0.18460911874	0.3772969622	0.22345246756	0.1780756431
o	0.36719194358	0.0615551416	0.1472147392	0.36283111714	0.06120706636
m	0.0249646076397	0.078044375776	0.4011110082	0.2470550529	0.24882497636
e	0.100976631698	0.1053924206	0.264183169	0.33040290326	0.19904485834
</S>	0.000986205754426	0.005924801444	0.1070393538	0.2913125472	0.5947371032
