 	ieri	abbiamo	deciso	di	andare	al	mare	tutti	ma	mio	fratello	non	voleva	venire	</S>
e	0.475463012764	0.021348805142	0.01736480766	0.0236460695868	0.0083560612188	0.0112230198604	0.00949671889344	0.0230046157234	0.0573287491589	0.025918647975	0.0342137307459	0.0786401945304	0.00784134091115	0.0412824857276	0.164871730216
t	0.670271963482	0.207687007822	0.106522355907	0.00738704973	0.0034854646605	0.00345193162453	0.000810439223575	1.330670943e-05	8.14756846096e-06	2.87970343026e-05	5.95568951455e-06	3.14145305256e-05	0.000133304507761	7.91807456161e-05	8.36717939382e-05
t	0.55282727368	0.25060970496	0.0248075586554	0.0292990101564	0.0339334921965	0.027073136104	0.0140328134652	0.00857693263047	0.0107998731982	0.00370390399791	0.000979194440827	0.00085113748413	0.00875539126771	0.000506575943282	0.0332439414134
è	0.78350885	0.1646375236	0.014321179548	0.003229120398	0.0169499415605	0.00841553551478	0.000956229262184	0.0003603125739	0.00153954408793	0.00337731372074	0.000413637011446	0.000279404776541	0.00144143377062	2.34907820706e-05	0.000546532384485
d	0.09026458851	0.882353566	0.0109082866	0.0104310511642	0.00454114361262	0.00104381035164	0.000215701140408	8.465430379e-05	1.14810603942e-05	4.77495914031e-06	2.04794084774e-06	1.67122254172e-06	4.08335539027e-06	1.7689728792e-06	0.00013145141167
e	0.318313024925	0.2398876882	0.1901000488	0.126407772552	0.0275453647364	0.017503620352	0.0411336804757	0.0257461472105	0.00159072961781	0.00226521965985	0.0036909118465	0.00101429530262	0.00120236816235	0.00175665736532	0.00184247120272
c	0.0046034681828	0.586167368	0.379734468	0.02321595222	0.0026893099394	0.00068255743434	0.00124039106859	0.00122917735628	0.000111364232216	5.1803293594e-05	2.5701230503e-05	3.82438976888e-05	7.68202530529e-05	4.01674380847e-06	0.000129333200641
i	0.243482505016	0.137729693198	0.26103529668	0.1860778612	0.073200281412	0.0193257275074	0.0475941459452	0.0149439806921	0.000588046012676	0.000469593480505	0.000284656733123	0.000785753918669	0.00311083514058	0.00994022529639	0.00143135991083
d	0.0019686065886	0.5174117094	0.388422886	0.08347011616	0.002507970694	0.00118480686008	0.00330391804386	0.000402872075449	9.7763299278e-05	3.40218856123e-05	3.08890242372e-05	3.56327296081e-05	5.96822401796e-05	1.02545001516e-05	0.00105887956018
è	0.0427681702678	0.06759001772	0.45814531	0.174997043	0.032131343	0.0139434571	0.0882331995827	0.0592316709994	0.0056448253034	0.00212338999562	0.0140722258273	0.00336049239056	0.0050231391415	0.00835582049863	0.0243799119825
t	0.0005853056826	0.286087344	0.520218478	0.091394547	0.0601602481799	0.0173310610658	0.0132814949377	0.00960474631667	0.000561467421759	0.000372645252647	7.55567369801e-05	6.32617796376e-05	6.79392487613e-05	6.19724734237e-06	0.000189695413866
s	0.01071681906	0.05593767156	0.3232219188	0.336490076	0.0880175682	0.043487831248	0.0354239035031	0.0173847525372	0.00974014285796	0.00788657139179	0.0199267181158	0.0150648975904	0.00684731587048	0.0182775148732	0.0115762821893
a	0.046826878772	0.12425850148	0.529935164766	0.03966171058	0.1606056074	0.091326027738	0.0025678613444	0.00035131839802	0.0005211015365	0.00131251948408	0.000141526079505	0.000152262936903	0.00100207766744	1.71644550319e-05	0.00132029563801
m	0.00203401919748	0.179418367508	0.1850083756	0.507115912	0.08649080618	0.016822370192	0.011722072594	0.00666616233894	0.0016698938268	0.000220210381996	0.000429228993817	0.000470436186135	0.000624201785988	2.28805959474e-05	0.00128510566883
o	0.313453575968	0.041309703796	0.1588386886	0.3064318684	0.06436406966	0.0231077745	0.0078122099488	0.0172290314865	0.00989985785	0.00944367085134	0.0107015767253	0.00731550630144	0.00353533685987	0.024236578325	0.00232056656592
n	0.000774701317015	0.109897540321	0.233137752272	0.467345466	0.1047334455	0.02651069006	0.02463105296	0.0172975532134	0.00466396099	0.00099364005522	0.0012084425018	0.000754964299814	0.000966843604902	7.16608569235e-05	0.00701226551471
a	0.0836065620612	0.03449022911	0.2090506344	0.3029729332	0.13307516438	0.03987617804	0.0404399090746	0.032980372598	0.0204176603188	0.0029596261092	0.0213234113846	0.0267317384712	0.00759893232202	0.029745847509	0.0147308205971
p	0.00103667624298	0.049081430894	0.149660247874	0.326382736	0.25023633452	0.1031607766	0.0648288006	0.03748566632	0.01138243744	0.000979246408	0.00199004461763	0.0020984591976	0.00121091053002	7.76942745112e-05	0.000388532051721
à	0.0193074593559	0.00823364582596	0.1180723384	0.186611722	0.24880435028	0.1043011796	0.07656247682	0.061336837	0.0230554782	0.006196840772	0.023802811336	0.013487922953	0.0173846758729	0.0382738753389	0.054568401246
m	7.01112406048e-05	0.010701833906	0.040688589108	0.2068617672	0.30614830036	0.15735203552	0.14389682828	0.10572849574	0.015771333264	0.00491509469116	0.002871511536	0.00144385351504	0.00336867757284	6.1342569932e-05	0.000120236166301
e	0.012969281828	0.0163190692504	0.1411324504	0.1833670434	0.2307814074	0.1354429174	0.04091231404	0.0174896225	0.017626544748	0.022425626474	0.05590614732	0.02391856011	0.0058472322835	0.0802983877094	0.0155634081587
s	0.000224179248013	0.0199473988426	0.0723138553319	0.14619199788	0.2306234542	0.2043494876	0.214047438	0.0695079886	0.02802024966	0.002354960098	0.00452945395512	0.0043126848804	0.00308040323704	0.000148102189252	0.00034838085683
i	0.005865302928	0.01914230773	0.05050573724	0.0822812858	0.3431537683	0.1831597604	0.0889518886	0.04419332012	0.04850120204	0.008062666734	0.02668250027	0.019596720976	0.0181562084483	0.0336698220256	0.028077542658
t	8.81631389886e-05	0.00847300332913	0.101274363723	0.116389090388	0.09599740226	0.11589107614	0.245764424	0.2119828	0.0688691972	0.005365845972	0.0098977572326	0.014737536864	0.00447624835416	0.00027843547522	0.000514647402514
à	0.00752103330512	0.0126046708262	0.0429966324556	0.0455396092	0.2095123668	0.1152252008	0.134855457	0.0924640259	0.07078631168	0.01394670744	0.054303825752	0.019976422728	0.0150909446298	0.0500329071035	0.11514387091
l	6.64864524168e-06	0.00153942837963	0.00822823616392	0.02463081084	0.10338252386	0.08842587934	0.28107014	0.384269448	0.0496409188	0.016073163188	0.01470616246	0.0076767421	0.019359193694	0.000697723102	0.00029298344834
a	0.003050291648	0.0118233573246	0.04892970232	0.070236776	0.1993771746	0.1986951966	0.0902706904	0.07082658106	0.051973937534	0.033517618065	0.068263223372	0.0272528550508	0.0087247153172	0.0944559265974	0.0226019674432
s	0.000459388338529	0.00527690341598	0.0329198950739	0.053454974954	0.05042932312	0.11349649496	0.317354536	0.17198595	0.19538365	0.017749064904	0.016928304814	0.01568212173	0.0071678014238	0.00096962652712	0.000741979694
s	0.002807612362	0.0103390120559	0.0326788024331	0.04235900125	0.10671001256	0.1061570506	0.2289748752	0.1419904242	0.1130486836	0.0183526277	0.0337931085	0.025081421308	0.02524892682	0.0670436567454	0.0454147590007
a	0.0187338180336	0.00835862085346	0.006423532674	0.017814495508	0.1256130598	0.25251679	0.2201325724	0.0938592712	0.066939906	0.06518429064	0.037452529272	0.020650705938	0.0283374134586	0.010427569457	0.027555402783
