 	forse	stanno	ancora	svegli	</S>
f	0.566175475011	0.02075015034	0.0438441740096	0.0326265271156	0.336603646383
ò	0.793522018	0.051755202	0.132092493504	0.0204953708432	0.0021349255892
r	0.84405902	0.1508948909	0.00240398075938	0.00166773395813	0.000974380817628
s	0.22724190702	0.4978787952	0.2150041705	0.0317570898378	0.028118069234
i	0.390198692319	0.6051550648	0.002766987264	4.76296212e-05	0.00183156043612
s	0.226426903386	0.705702652	0.06505742036	0.000643257578	0.0021697479192
t	0.091447329007	0.548912216	0.322829560563	0.0266077185436	0.01020316559
è	0.193906832191	0.70304083	0.069241373906	0.0003202155252	0.0334907427804
o	0.080437035145	0.655990434	0.15572702062	0.0528665627612	0.054978952529
n	0.00750457601382	0.2078324829	0.561481464	0.204934252095	0.0182472389289
e	0.02947888424	0.2213120354	0.3121401874	0.1771590371	0.259909887852
a	0.0200712409701	0.351323203678	0.49385472	0.1220468794	0.01270395164
n	0.00611879329279	0.127297545602	0.455577394	0.35647846792	0.054527820256
k	0.00699145578812	0.031081938554	0.36603890554	0.2941446795	0.30174300256
ò	0.2456590694	0.32712208232	0.145494682	0.15461487792	0.12710924809
r	0.022802699764	0.313341466753	0.277055502	0.299719393	0.0870809408
a	0.0114732061763	0.0979775662	0.441736876	0.3145180568	0.13429428726
a	0.0204403041577	0.239371831615	0.2846398076	0.393764498592	0.0617836014
t	0.0194897343962	0.0925526919424	0.14155202006	0.6859652316	0.0604402754
s	0.0749283914315	0.0482532497246	0.08755968942	0.411253783	0.3780048932
ù	0.196688591924	0.097072642952	0.1373322325	0.232514155926	0.33639237816
n	0.00013026817875	0.127520843157	0.097546419814	0.490530746	0.2842717124
n	0.000771424164362	0.002075127288	0.019311078782	0.5086088667	0.4692334834
i	0.199953914125	0.033698818127	0.06298759529	0.3673775968	0.335982072
t	0.0018462344004	0.00332190668068	0.048868306512	0.4893873012	0.4565762712
i	0.103811458601	0.0255243909042	0.063180708834	0.2666187524	0.5408647128
</S>	0.0011660669759	0.00704845220998	0.0249314337988	0.0367143672	0.930139672
