 	quando	venne	arrivò	Giovanni	Anna	ancora	aveva	di	cucinare	</S>
m	0.60597753749	0.0283954534872	0.0175376916054	0.00510626810793	0.00292402159984	0.0189121465651	0.00205833534897	0.0509977193457	0.0774859233058	0.190604876781
ò	0.794294401	0.00659056778	0.0020647978828	0.000129155409	0.00024631239668	0.00021973908559	0.000199456584146	0.000600998406464	0.0747278733126	0.120926680674
t	0.741613106	0.09900246442	0.0064533554062	0.000898240820997	6.09342152629e-05	8.04656518855e-05	3.05107705578e-05	0.000340396203256	0.00708673852652	0.144433799758
t	0.740642440296	0.047142559328	0.004478820196	0.00019035502944	0.00274110583838	0.000804535175425	0.0043554955421	0.00319221432135	0.161917855387	0.0345346202663
i	0.382384203988	0.505781768767	0.0629686964146	0.0297862322016	0.00689534157284	0.000899883266029	0.000742419511101	0.00112139882324	0.00197013192375	0.00744992620538
ì	0.2438580484	0.5926663618	0.12204991966	0.0057186201084	0.0085686611625	0.0002315971756	0.000343222339464	0.000455330269974	0.0004263500997	0.0256819183959
r	0.203675182237	0.545831434076	0.042672991224	0.00951130260522	0.000145524263762	0.000351336086364	0.000331848325894	0.00422922350629	0.028978600808	0.164272554257
t	0.25827315898	0.2914751978	0.10542987112	0.01194084448	0.0851884264794	0.0153398832144	0.0247033439407	0.0061460616394	0.180281858019	0.0212213708474
e	0.399814324215	0.392091485026	0.098587764374	0.07753816825	0.0162196432812	0.00119835943233	0.000802367707118	0.000505363147784	0.000850347549244	0.0123921549998
è	0.0577246571678	0.2992330044	0.5263225068	0.049117462252	0.0513126659929	0.00305414147015	0.00287715920798	0.0011478675047	0.000126730990086	0.00908382672912
t	0.2005285483	0.110240719591	0.39177641508	0.0980675059743	0.0039010251278	0.0114223675481	0.00713933283496	0.0277269415841	0.039546314527	0.109650874909
t	0.098572243026	0.11365402652	0.31823114115	0.050961717212	0.12617538938	0.0320184037002	0.0346544998194	0.0145008444101	0.205162516647	0.00606920706948
a	0.152547898787	0.141884000941	0.375845823668	0.1773560854	0.0395265102452	0.00332214063587	0.00568258641674	0.00561675616698	0.0410368237347	0.0571813682042
s	0.0360818868981	0.137435969789	0.33139911	0.31089248714	0.138180140304	0.0160653869404	0.0119321943952	0.00491182938111	0.00078213231403	0.0123188777726
e	0.01872305658	0.023234755712	0.2318186166	0.2161196164	0.17495159644	0.114606777333	0.0315948389714	0.018763910784	0.114256885944	0.055929867963
o	0.0129244258625	0.137061907415	0.114365552	0.55904496596	0.10253914964	0.046644918926	0.015016703284	0.00817093487076	0.000773407857744	0.0034580028599
G	0.191637888292	0.0017319784008	0.047941018746	0.518267607427	0.0299883118	0.00192410044	0.0075364557216	0.00305153539314	0.18163966676	0.0162814651981
i	0.1232333006	0.0309547808	0.218516102	0.24056625	0.0563318156	0.055640268232	0.02946299186	0.059695548566	0.0518755648298	0.13372337154
u	0.0306602780688	0.10015217892	0.136309836	0.4692205164	0.1558130798	0.0821255532	0.01364164694	0.005935806144	0.0004047186684	0.0057363664394
v	0.124368433646	0.002316599442	0.035849866944	0.370233065054	0.22383875648	0.0177603842	0.02350508034	0.005227056864	0.187300073981	0.00960069566818
à	0.17880137664	0.0215564668	0.114406547	0.2065672372	0.2332454558	0.04240582012	0.04064732856	0.03784711772	0.047116799702	0.077405881676
n	0.000237648785666	0.001975292644	0.0400029271	0.28160230772	0.4051566248	0.0391868243	0.04780538	0.007826596686	0.0347430596088	0.14146332248
n	0.0168685219628	0.0099354819538	0.025696963546	0.08767948096	0.364078428	0.0848715219	0.1469041864	0.07199981446	0.155391678435	0.03657389057
i	0.0800615251156	0.0339210925108	0.01855609048	0.127466828	0.407289606	0.1654544512	0.0643844424	0.0456482568	0.03242689507	0.0247908532
e	0.00777759919619	0.00742808996366	0.0372445981801	0.1056007746	0.276290646	0.2763271126	0.1431939298	0.0701713438	0.01977958662	0.05618634382
A	0.00848236091251	0.000475888048416	0.0133789177239	0.050027189472	0.3258230972	0.151138705	0.2416954834	0.020256351	0.177173478507	0.0115485129619
n	0.00602190448822	0.0010926903932	0.0421427844104	0.176303068408	0.2949491716	0.0676080548	0.1961544402	0.02708858481	0.0995947676597	0.0890444924863
n	0.00422872851264	0.0158851044449	0.0099571347768	0.03907648827	0.2593153568	0.1142398684	0.2142481181	0.09557546146	0.224861457748	0.022612263886
a	0.0605064682325	0.0356060324733	0.0370269164294	0.056457234314	0.2411414334	0.2087361892	0.0749195246	0.2276639166	0.03331390588	0.02462839318
a	0.00694924876232	0.0084652571612	0.0198321680261	0.03397089821	0.1630077647	0.3648397468	0.150435446	0.1579738152	0.03730091192	0.0572247534
n	0.00668425284165	0.000398958451586	0.00951525763234	0.0149658041306	0.1839448386	0.1493469926	0.294229754	0.1191698196	0.2087695714	0.0129747553
k	0.012619102006	0.0116281360449	0.0045100561813	0.01460779522	0.159093593	0.08482527826	0.2293133344	0.203598304	0.17416306048	0.10564132316
ò	0.284749733162	0.031964262546	0.02853044818	0.0585369762	0.15569370124	0.165358231024	0.04830446709	0.15663986866	0.04357883179	0.026643490722
r	0.000250182156448	0.000781423429	0.004698474127	0.01292588885	0.038798608	0.199972345	0.1922040248	0.1466234352	0.31789582	0.0858498322
a	0.0197324354614	0.009568403745	0.0265728787596	0.025138998657	0.03416514276	0.0837633536	0.1420016164	0.2921701966	0.3013690044	0.0655179613
ì	0.0188030726829	0.0234238225468	0.0299597423133	0.0538446979981	0.069611295528	0.07689397536	0.117818446	0.202902869	0.2857393588	0.1210026948
c	0.0914347077328	0.000273206371504	0.0325291779862	0.0101648113607	0.04092927621	0.13446991334	0.206169005	0.0936863264	0.3519204368	0.03842315676
h	0.20242659478	0.013579531296	0.052153923992	0.08926345716	0.05914269718	0.0981248949	0.0520300554	0.0935206622	0.29129886634	0.04845930308
e	0.0133321655248	0.0095262648978	0.021222036892	0.039630005084	0.14310901268	0.097957595506	0.1449215273	0.2473678906	0.2056515262	0.07728193448
n	0.000460508585938	0.000310335295842	0.00281798542942	0.00421360780632	0.011694163418	0.03378622844	0.04582847352	0.106464652	0.318970044	0.475454026
a	0.0053249456932	0.00453202477632	0.00273411845386	0.00592605123972	0.016293521086	0.01456747454	0.03585809656	0.2441078466	0.568043906	0.10261203702
m	0.0036207921927	0.00542707553168	0.0141190472225	0.0180178190518	0.054815031406	0.065385022572	0.0786900255	0.141844525	0.27981897	0.338261664
a	0.0119668812896	0.0090781717592	0.0059047498818	0.0053846635614	0.00811479817	0.05534412778	0.04220815192	0.3102991451	0.488791372	0.0629079196
r	0.0110118343993	0.005041233025	0.0257917526346	0.0351317099378	0.049357241574	0.07459323692	0.0889503958	0.1187264828	0.39381415	0.1975819494
è	0.0373689757458	0.0020151851448	0.001104772466	0.0005433044266	0.02165703971	0.005920386408	0.056199884	0.16134996466	0.671277286	0.04256320848
s	0.000708491680834	0.0007558711462	0.0018605387877	0.00092034746668	0.00339465859	0.026027731773	0.01616679622	0.03187159406	0.82382642	0.0944675492
s	0.00832228109383	0.0058459733871	0.00839562892756	0.0217760395973	0.004054045228	0.02233547634	0.03457478784	0.189847969	0.547313658	0.15753412392
i	0.0476976871878	0.0297475198855	0.0296341065728	0.0357785223176	0.0225881573028	0.0430938268	0.0207040847152	0.126172551	0.2292289954	0.4153545406
</S>	0.000270727035195	0.00011635719744	0.000608276911262	0.0006543204923	0.00120301705196	0.0102254655468	0.00523850424	0.025261333	0.2288196984	0.727602312
