 	io	voglio	che	Maria	venga	qui	</S>
e	0.617210488926	0.086946622396	0.0016046783416	0.00024763875	0.002423185	0.00319490590506	0.288372462215
v	0.757268747983	0.027065533654	0.00957450564	0.0297802514573	0.129904190973	0.044203743176	0.00220305352718
ò	0.59473759268	0.198661175336	0.03218583499	0.034085632708	0.129953558274	0.0099241668734	0.000452031481121
t	0.20867784608	0.4272981264	0.050359616986	0.19735250656	0.01523405566	0.0708078004445	0.0302700835891
è	0.05691931958	0.6149229208	0.1633983862	0.0876433764626	0.0557713367679	0.0182656885124	0.003078988666
l	0.03323749954	0.78218881	0.1354504562	0.0411262501	0.003814074421	0.00163088834589	0.00255197105526
o	0.0493094277492	0.3440910654	0.1154453296	0.108681398406	0.0864836684973	0.130751666298	0.165237419853
n	0.065004992202	0.23774719	0.630321328	0.05700956932	0.0082011084412	0.0008911527886	0.00082465569134
a	0.00677550298732	0.282978993	0.4218203302	0.06165235624	0.163862592332	0.0586738627042	0.0042364284655
r	0.00902904290434	0.1535299163	0.463215542	0.3344178956	0.03302943656	0.004049088267	0.00272908898136
t	0.00736556569	0.12126464	0.33185470294	0.0359636564	0.372218701194	0.122359957846	0.00897276197
i	0.0299133316434	0.224863971	0.421585166	0.178061123632	0.05836682506	0.02415426607	0.063055287824
e	0.00498240383865	0.051754415874	0.351229664	0.327181596	0.239280078288	0.0090105409632	0.01656127448
M	0.000937841093525	0.00364804979	0.02109666634	0.3860150082	0.409862934	0.16278192864	0.0156575713742
a	0.067939096686	0.1368197159	0.1906893068	0.12923423196	0.33381636052	0.119026674	0.02247463894
r	0.061195838464	0.20464181326	0.1101897706	0.343094512325	0.17990615754	0.0795477982616	0.0214241172708
ì	0.01019807184	0.2186140118	0.09687033674	0.157834507306	0.2688275874	0.19744192412	0.0502135720184
a	0.00612754277086	0.127549255368	0.13539562314	0.1539542196	0.24789257744	0.2203322032	0.1087485886
e	0.0157067129008	0.102525204603	0.04806344418	0.014641652312	0.383098203	0.37583929	0.060125495
t	0.0488724383249	0.0917424954587	0.0516244416294	0.027605354273	0.284468688	0.447287162	0.0483994216
t	0.0295333813168	0.0714813074336	0.123021281411	0.004006087302	0.22224704524	0.427605578	0.12210531166
ù	0.175946744613	0.06820874618	0.07219563778	0.03503902214	0.12742619882	0.4302276046	0.090956073708
</S>	0.00114616317926	0.00473002943896	0.008760194672	0.02107191746	0.0674442737	0.372050292	0.524797178
