 	il	morto	vuole	pianto	</S>
t	0.671550545784	0.03167105039	0.00143183762088	0.0130695706704	0.282276988976
o	0.44902434288	0.3341017714	0.191964212628	0.0187293479737	0.00618031901041
n	0.30874380208	0.4779430816	0.199355969	0.0057373842488	0.00821975310102
a	0.207355065345	0.2513562504	0.21274171954	0.250500390354	0.0780465999456
p	0.020547076978	0.7504184632	0.22752995008	0.0007702091561	0.000734347718005
e	0.02453564076	0.5799706226	0.1559444275	0.1089471608	0.13060214066
s	0.01460447492	0.802314962	0.17268604108	0.004428554026	0.0059659354404
a	0.109786664696	0.3560346064	0.18501524928	0.29644208998	0.05272145292
m	0.027689949955	0.76298513	0.1937403692	0.00831684414	0.007267720304
m	0.01365026016	0.4267705032	0.0615344158	0.3198941118	0.17815068988
è	0.18958516424	0.424944946	0.0236119552188	0.25860536708	0.103252586949
n	0.0228068087693	0.26512533972	0.475953188	0.13502517571	0.101089457246
o	0.346299626467	0.16921713484	0.232050932	0.17748183288	0.0749504809
t	0.0282237360544	0.0856625851	0.685727818	0.1165495366	0.0838363568
è	0.0034387564886	0.02427843188	0.484622741374	0.436312433	0.05134760976
l	0.00419648454145	0.017452675616	0.673878436	0.2379703369	0.066502049474
i	0.1351632225	0.093644865	0.336977514	0.3457011794	0.0885132464
g	0.0177038436918	0.0244616429887	0.1767486298	0.43880428426	0.342281562
l	0.0146480972324	0.005659549928	0.3375893837	0.4222367402	0.21986617058
e	0.15145789538	0.077212000788	0.04872944028	0.59343503	0.129165625614
m	0.000773972196142	0.0008401282266	0.01575409036	0.47847862604	0.5041531844
m	0.0130873027	0.025718678814	0.0268784793	0.65305815	0.28125736932
è	0.0883884705966	0.141384727132	0.04608721966	0.51778109	0.206358494737
n	0.00113239926312	0.002828502084	0.09079120434	0.46548123762	0.4397666346
o	0.319174732215	0.01161637562	0.0599198882	0.53754614616	0.07174282712
</S>	0.00273536628137	0.0018136656002	0.01295874179	0.237412680598	0.745079587
