 	non	so	cosa	scrive	</S>
e	0.64375251517	0.0611927527048	0.013279452728	0.0123113779192	0.269463911602
n	0.52515828048	0.266996177	0.2059936762	0.0014444386424	0.000407437631329
e	0.134971739532	0.437758484	0.207431605	0.06979290322	0.150045257479
t	0.020989788652	0.902606944	0.0759112052	0.000260494554	0.000231564170309
s	0.020217238512	0.380720431	0.1915141374	0.35253937024	0.0550087995245
è	0.0849542042	0.756863024	0.0924369892	0.01841812982	0.047327708554
r	0.02285458766	0.641641668	0.1998940936	0.07418918884	0.061420423494
o	0.01390341424	0.3627838596	0.1817669812	0.4124673514	0.0290784244
t	0.0254222107368	0.2928227354	0.521857022	0.09445312	0.06544487308
i	0.0187080787388	0.1712156597	0.2661613252	0.526163024	0.017751884
g	0.0129498109491	0.16770817808	0.348727126	0.337155498	0.13345936116
r	0.000317459624	0.01614888592	0.2205141654	0.735341312	0.02767817498
à	0.024409235765	0.086384204274	0.19976770926	0.592085692	0.0973531852
f	0.0153491441777	0.022726367766	0.04075380122	0.661253012	0.259917672
i	0.0347115294738	0.1971526402	0.0653375472	0.6881242836	0.01467397808
</S>	0.00775150304168	0.0130132382148	0.0140361786	0.29538316	0.669815946
