 	non	ho	dove	d	andare	</S>
e	0.679988537996	0.0287882620974	0.0042737780134	0.00154213888216	0.0249907926122	0.260416493176
n	0.66086435968	0.1246128586	0.01593295378	0.19585004525	0.001513912748	0.00122585962881
è	0.10497303808	0.25045515	0.3647605386	0.06722493066	0.06831959344	0.14426673425
c	0.10465977588	0.712917604	0.1424568532	0.0383736840168	0.0004065683004	0.0011854861124
h	0.01925718148	0.20925011232	0.30005555966	0.313577605588	0.1365986808	0.0212608666356
o	0.09555554734	0.46621137	0.2642183726	0.03486857098	0.002652780636	0.13649338419
p	0.0389883134285	0.1447229802	0.7035333	0.099027946	0.006634889216	0.00709258173184
u	0.0047358460336	0.04023883046	0.44164660568	0.30162125744	0.1650505465	0.04670691352
è	0.0146406385439	0.05000634972	0.4184676736	0.4195557512	0.06049314128	0.036836432576
n	0.00166457158055	0.012137686022	0.0702737024	0.41110377334	0.4735457177	0.03127455524
a	0.0179116035881	0.05557261784	0.1621988572	0.2606940374	0.445333594	0.0582892594
p	0.0184806726569	0.0472256281024	0.159288257673	0.2102119785	0.4494424372	0.1153510348
à	0.00210395633073	0.00637189098794	0.111801318827	0.1669587673	0.626603717	0.0861603794
o	0.00116990304717	0.00101196687758	0.02260812853	0.191312764	0.66637318	0.1175240573
</S>	0.00169065739171	0.00119371852935	0.0108209698568	0.19969572015	0.2860304181	0.5005684832
