 	i	genitori	non	li	dimentichiamo	mai	</S>
u	0.491563910764	0.040116397507	0.0554258040148	0.024494928638	0.00881484936356	0.0280720465962	0.351512083842
g	0.375294845893	0.384000141	0.03482790648	0.085727193072	0.0591696537645	0.0541602366947	0.00682004756125
e	0.276949946206	0.17856597358	0.27390423066	0.08534483224	0.079819769422	0.02204119344	0.0833740525522
n	0.413641155575	0.4481848012	0.1196839052	0.0079668916	0.00911899199896	7.6029153056e-05	0.00132818480143
i	0.046837707448	0.510969074	0.1409690698	0.052144026172	0.0896024501546	0.0371726172226	0.122305031138
t	0.178384751172	0.5805207126	0.1909051352	0.03760131594	0.012029001264	5.420669832e-05	0.000504935159085
ò	0.014460345732	0.48410174902	0.0916253218	0.0979617898	0.205351871572	0.039663506204	0.066835418097
r	0.10518062084	0.35054251074	0.304848413	0.1658316246	0.06883949868	0.002455899224	0.00230142008917
u	0.24168471644	0.1869137328	0.17567127404	0.097858660516	0.132516197831	0.0180707736936	0.14728464783
e	0.0679845936991	0.10850831242	0.597131978	0.2138795504	0.01038550598	0.0007796460906	0.0013304412988
n	0.00361949658522	0.14207980432	0.187438824	0.475620558	0.1771219498	0.0074569575672	0.00666242689706
è	0.0003135287842	0.027132718546	0.11456636708	0.2197978893	0.3610252098	0.106489300174	0.17067499264
n	0.00808223689296	0.08340274368	0.15081919	0.37516878	0.3254192926	0.046337735028	0.0107700428208
u	0.179010579726	0.06601736296	0.06392657126	0.20366619946	0.2697845866	0.15814703554	0.059447673006
s	0.0182167929561	0.0574299406744	0.274470874592	0.298000422	0.2280966876	0.082538070888	0.04124718506
s	0.00560717538288	0.047960209352	0.01839327752	0.2497161208	0.281281098	0.34841923612	0.04862287044
c	0.00844596860682	0.03473844456	0.0669593947	0.218833108	0.53729976	0.0644676062	0.06925574632
e	0.0689605912854	0.04553475226	0.1164848932	0.25963374	0.2530524134	0.1473971147	0.1089364765
r	0.00968866702485	0.021158537242	0.041602523052	0.13676891	0.32538643006	0.2688945505	0.19650036428
r	0.0100186788832	0.0166347384	0.0181162118	0.08842225308	0.36529556088	0.46257009	0.03894248464
è	0.0178375843345	0.011597610012	0.010475721392	0.0904050904	0.399193104	0.367112182	0.103378692
t	0.00722063800073	0.0003378660816	0.002610772148	0.00821562254	0.24496218321	0.58748537788	0.149167551
s	0.0776390475727	0.017152063071	0.026882641554	0.09449195534	0.20670757282	0.5064863072	0.07064040846
u	0.0304387397806	0.0036450197832	0.00594364800764	0.02956866074	0.4179271092	0.2202292844	0.29224754172
m	0.000739558053237	0.000603392084836	0.00133012909667	0.005210300388	0.172940533702	0.3427546194	0.476421466
e	0.0563999869764	0.0090319241876	0.0176714618014	0.0315540774	0.19518933922	0.63232379	0.0578294092
m	0.00189356550544	0.000643620938055	0.00172352973977	0.0041929643188	0.19014038934	0.43501665692	0.3663892752
à	0.0028795806052	0.00150431056428	0.002984361268	0.01157938004	0.117226267977	0.77174688	0.09207920734
i	0.000349693320003	0.00052969631274	0.0009279968342	0.007164993372	0.18015398895	0.664705535	0.1461680972
</S>	0.00209303464515	0.00143858054774	0.00193361819395	0.0367680271463	0.00887575992	0.364006174	0.584884792
