 	da	da	un	famoso	poeta	</S>
p	0.706117015376	0.010727790309	0.001378089842	0.0526460180348	0.0172576017741	0.211873529865
u	0.543004084	0.276630814	0.0494133316	0.03493236704	0.095053465646	0.000965938391
s	0.1742075308	0.73680096	0.04574906814	0.024790870726	0.00159330697	0.0168582856717
s	0.0772149952	0.452709212	0.1164074244	0.26624541488	0.05417869494	0.033244269136
è	0.1572652138	0.397264373	0.32028210456	0.043882426348	0.0021775232236	0.079128358616
n	0.059902590412	0.499887072	0.40297052354	0.02688031608	0.0032927355782	0.00706676969509
a	0.06329310648	0.4098295406	0.289234606	0.10976400826	0.12244123044	0.0054375133532
f	0.0343267466978	0.330037672	0.4911489294	0.1346790544	0.005837742646	0.00396986487767
a	0.020998507448	0.06383589068	0.4581265154	0.0860886314	0.3595054956	0.011444926146
m	0.0180306357169	0.13704823054	0.409431656	0.407485698	0.02047480208	0.007528984764
ò	0.00785929148	0.01615155696	0.38244797862	0.2421915206	0.3405968344	0.01075280014
s	0.00272545921328	0.0146104880908	0.3521265554	0.326712479	0.2571179712	0.04670705896
o	0.071762361102	0.0744424534	0.3082871296	0.276006142	0.222058706	0.04744321714
p	0.00434625274348	0.0143390951343	0.0332349753	0.565165188	0.2711662012	0.1117483016
o	0.003688402198	0.0060271898352	0.048245436648	0.1894038082	0.741138676	0.01149648656
è	0.00295122269748	0.00382978661772	0.01657111358	0.395755786	0.4544629554	0.126429141
t	0.000834781083196	0.00222192852843	0.041839155646	0.1841035668	0.726389002	0.04461154138
a	0.00965913824246	0.0152646239386	0.16054114856	0.256543208	0.463091528	0.09490037779
</S>	0.00195807547385	0.00324626040809	0.0054357381785	0.15488692916	0.296373052	0.538099954
