 	non	aveva	cosa	a	fare	</S>
e	0.672493810634	0.045495928007	0.0064713493674	0.006191519148	0.017364061542	0.251983284378
n	0.6774988724	0.1028114316	0.19792412496	0.020237173742	0.000842098978	0.00068632312232
ì	0.07815912036	0.473851342	0.1275946664	0.0557318492	0.157091394384	0.107571622341
c	0.01942379997	0.782292594	0.15552418064	0.0400227478771	0.00228879777368	0.000447868971556
h	0.01237598722	0.459390661	0.3573523864	0.15219775382	0.0155278949	0.0031553459328
e	0.10462583008	0.600885072	0.234590663	0.0344605027	0.0033149582	0.022122983858
t	0.0228907058348	0.1518792784	0.689064598	0.1222909634	0.006571533012	0.00730291196614
i	0.0244095711557	0.1192672549	0.422684712	0.256896861	0.0393558223	0.13738578206
k	0.00475951284182	0.1096963543	0.325254382	0.495688742	0.0388925704	0.025708457872
à	0.0044942489236	0.047303177968	0.049901937532	0.2215495476	0.407984110146	0.26876699946
m	0.000858199838528	0.005637783581	0.01577387556	0.0887323376	0.794269396	0.0947283814
i	0.0881278831496	0.09813887316	0.244552891	0.0887506978	0.40280980502	0.07761983838
</S>	0.00332062901166	0.00405783667028	0.005373500918	0.0447649802	0.4110474732	0.531435613
