 	voglio	che	Maria	viene	domani	</S>
t	0.563970739006	0.043686590766	0.0069391065014	0.078637639411	0.003756094106	0.303009817251
è	0.57800050676	0.0859119658	0.0739718949801	0.0786641723802	0.182541877937	0.000909579721275
l	0.660123852	0.12967212786	0.178245443728	0.003296855883	0.028594967319	6.676168983e-05
o	0.38975017534	0.1139820122	0.098512538146	0.138879609207	0.0843067634272	0.17456892957
e	0.288698164	0.60234328	0.1024894618	0.004535994548	0.0013475180112	0.00058559734328
M	0.0103131006	0.0559119628	0.4433862656	0.114786281292	0.369064402134	0.00653798682084
a	0.054050061249	0.278618488974	0.041892074016	0.28372720672	0.306234078424	0.035478054756
r	0.2126807566	0.26400376284	0.287039064401	0.21581386044	0.00854322319294	0.011919332482
ì	0.29439681846	0.11819597038	0.138113084459	0.07923051352	0.251674264283	0.118389334112
a	0.200144292166	0.28647964558	0.25307537588	0.016100467142	0.234845651547	0.00935454497926
n	0.0674854188911	0.220602244901	0.1442429779	0.115456313	0.378143908	0.07406919383
a	0.06674216222	0.319073973276	0.11742541046	0.1016787944	0.257691437	0.137388212606
r	0.0912969222333	0.21699249266	0.23950583088	0.2611124566	0.146606656745	0.044485636024
t	0.0405552797	0.205270734246	0.03841215402	0.2747214744	0.3980240896	0.04301629058
i	0.1817499077	0.18742978276	0.0930506185	0.1724729792	0.04171566302	0.323581064152
à	0.00900426435672	0.128398530433	0.16757160634	0.11643381874	0.395656857926	0.1829349076
v	6.4752850496e-05	0.000189479233994	0.04753562874	0.00587794896	0.921999404	0.024332798686
v	0.002112479014	0.00870126062	0.043183653902	0.12098297604	0.669683912	0.155335741094
r	0.3451720354	0.0691126894	0.03094234694	0.0413360702	0.1682765116	0.3451603474
i	0.245187584619	0.179878797398	0.001035256382	0.09035945263	0.14036934292	0.343169606512
</S>	0.0088896677381	0.0118928934249	0.0122581039028	0.02751341602	0.05592021548	0.883525692
