 	Marika	tu	hai	mangiato	</S>
M	0.599769236439	0.0020639953138	0.0073314306798	0.034800427579	0.356034867161
a	0.370802011301	0.371301951	0.16344979102	0.047019772492	0.047426452226
r	0.492035845	0.262213113	0.18798352525	0.0366898861087	0.0210776405651
ì	0.20607939108	0.17514616236	0.2605023006	0.054496489974	0.303775657736
k	0.4117926612	0.321281802	0.2485714266	0.014018754132	0.0043353729898
a	0.0491963478728	0.2810892172	0.2951255574	0.2411545062	0.1334343966
e	0.222077198146	0.47318109634	0.2376910514	0.025546552972	0.041504123506
s	0.0222601901582	0.173836175716	0.67881528	0.02836287972	0.0967254568404
ù	0.0195004869464	0.0482923091	0.4754234642	0.33132744524	0.12545624548
è	0.0942685621352	0.24611479204	0.436094676	0.2119001894	0.011621755122
f	0.0262889063955	0.089468112364	0.616990608	0.25219138476	0.015060982003
e	0.0158049950426	0.04527014872	0.2638744834	0.592837756	0.08221262876
</S>	0.0140602296284	0.0320507524194	0.163790762768	0.374440643	0.4156576124
