 	se	vieni	alle	sette	ancora	non	è	pronto	</S>
a	0.571564406343	0.0094442981272	0.00707527891	0.00660659102	0.092207386164	0.026922152588	0.0182479219337	0.0196477370416	0.248284275207
n	0.516486418678	0.2645297488	0.04634832966	0.15654291418	0.007571562444	0.0041951247546	0.00280903752305	0.000157922119071	0.00135895824255
è	0.178402560062	0.258076393836	0.29005460438	0.09957839522	0.0285196974059	0.0048173478225	0.00118707501668	0.000462216486414	0.138901730874
r	0.133460989493	0.596575455	0.2399825438	0.025526228626	0.0041333759886	0.00010544159324	5.41022773022e-05	6.82991982116e-06	0.000155055835807
t	0.03627464005	0.28061202666	0.453833792	0.10182931054	0.0604646470706	0.0343702211375	0.0105797078813	0.00449480874847	0.0175408401203
i	0.08073974156	0.3871048736	0.3891465844	0.12278030888	0.0141195634852	0.00139302031392	0.000418025434974	7.31019164621e-05	0.00422481411359
s	0.0625778427767	0.1534382068	0.506698004	0.2641481218	0.0073988336	0.00478642285734	0.000357451811453	2.85753925617e-05	0.000566540433686
e	0.0077981172864	0.135003031068	0.448713372	0.2282247532	0.0858227044533	0.032610253029	0.0327988643329	0.00460373378875	0.0244252089613
s	0.0354184005362	0.040671641906	0.530645782	0.361287874	0.0256196878	0.00411777997	0.00182038623661	5.71996750449e-05	0.000361239791542
i	0.001449819386	0.07610364612	0.3928926524	0.245812098	0.095085108076	0.04018955866	0.0585141264144	0.0114991397296	0.078453886628
t	0.0232981492193	0.0169415449704	0.385779836	0.405534026	0.150516781	0.00994067644	0.0064265970734	0.0005453274859	0.00101705565124
t	0.000796968877346	0.01524761048	0.34579262032	0.2583007018	0.0804798486	0.0480816917	0.08518965809	0.0356369186761	0.130473996834
à	0.0183700087781	0.03708421276	0.19098502094	0.39528756442	0.16872712642	0.019254234294	0.030212463038	0.00173152309	0.138347851678
a	0.022779061744	0.0634971077908	0.1910668414	0.2829334492	0.2776006592	0.0763059478	0.06707380452	0.0065018796592	0.012241228832
n	0.00353158934693	0.00441456256588	0.03151440726	0.1585065548	0.49982318	0.1892513382	0.05831285166	0.029148937308	0.0254966070036
k	0.0007267703788	0.004348434864	0.05560634628	0.08937987879	0.192483882768	0.13908771363	0.10765268558	0.243721024836	0.16699326601
ò	0.0561505457	0.0653073962	0.06350024748	0.1375920096	0.26875191176	0.0723567506	0.1712507748	0.1176363184	0.047454021864
r	0.00712053272215	0.122145619937	0.0286043557	0.09814473248	0.2618275998	0.175492338	0.1498537816	0.1176052504	0.0392058152
a	0.045009148229	0.01207040108	0.1352523972	0.1616066046	0.1764506362	0.1309275068	0.1353196092	0.150883952	0.05247975236
e	0.0255664273735	0.0523672395099	0.069362223944	0.061526324796	0.117321662	0.236568142	0.266076908	0.0754467608	0.0957643268
n	0.000127141220184	0.000839892776372	0.006285909568	0.022250631296	0.1385063088	0.41786103	0.3005148328	0.0692326422	0.04438162554
è	0.0001777125184	0.001990027738	0.0357010829	0.0071383606448	0.0145510605994	0.126421157269	0.2874024505	0.3184637636	0.2081543866
p	0.00129519097622	0.00203577512249	0.0023414844788	0.0115151672852	0.0785451421	0.0772623202	0.371820032	0.4224590796	0.0327257988
r	0.0036945893678	0.0026933897152	0.0196099768	0.01725260208	0.0192506162	0.0596637482	0.1065021036	0.732856898	0.03847604206
ò	0.0016394604482	0.001882815552	0.002071364748	0.00455460733	0.059147320228	0.059417437894	0.12075345612	0.728872766	0.02166080766
n	0.00153700019378	0.0095502832388	0.0031676010594	0.0062335472154	0.012678021834	0.0213814338	0.0622604986	0.435515053	0.447676572
t	0.00862937864156	0.0010185763946	0.04164227342	0.005216197734	0.0070042713	0.03624939892	0.1029992466	0.627529254	0.169711412
o	0.000600281195598	0.0006077745541	0.001067933626	0.00269997317	0.039655637804	0.049559964354	0.124670108268	0.401181262	0.379957079014
</S>	0.00159436442078	0.0146811674285	0.00512059641488	0.0021539868931	0.003386750991	0.006234351076	0.018961813128	0.0726148422	0.875252132
