 	non	ha	mangiato	mai	un	rustico	</S>
e	0.673523370941	0.067376152466	0.002214449533	0.001057008972	0.00086929258134	0.0278298753548	0.227129841606
n	0.578719082964	0.1919871072	0.01864325984	0.203071585408	0.00217108341214	0.00418535322346	0.00122253295336
è	0.103291766556	0.4035530732	0.1280080372	0.11199422268	0.0793637240934	0.00522796796372	0.168561193962
c	0.04868952654	0.856231936	0.06258376824	0.0237356377804	0.00574464383456	0.00146331928678	0.00155119658853
h	0.0246718047	0.4918177278	0.1514122376	0.273906476	0.0232754828533	0.0247451870471	0.0101710657064
i	0.05217756248	0.60662331	0.195468339	0.02505456682	0.002040735632	0.00022218538252	0.118413346984
f	0.0215085588862	0.312603192	0.4695035988	0.18631883	0.006885102296	0.00050282557046	0.00267791057617
a	0.0149963314811	0.09472425362	0.50165995842	0.248723236	0.02872609516	0.103318243357	0.0078518782
m	0.0150440634196	0.17490634644	0.3032125952	0.476378421	0.02410276334	0.001296654346	0.00505919558232
è	0.0197500723061	0.01954852932	0.29481748648	0.380055842	0.0746899738	0.20082185456	0.0103162606
n	0.00373908364886	0.05667448004	0.143082237	0.49129286	0.2565905896	0.01905892005	0.029561858096
a	0.0756739632706	0.047907508394	0.160196223	0.377518446	0.134612566	0.16843444404	0.03565682182
m	0.00822824522021	0.0592151101624	0.0796789092794	0.395350916	0.4074802944	0.0347724737	0.01527399931
à	0.035542363568	0.0145791411763	0.05117553776	0.3060548316	0.2518933304	0.2847473464	0.05600743488
i	0.000386553405039	0.0040568048022	0.00829376424	0.2815677996	0.5925581826	0.0755015488	0.03763530782
è	0.00134145809176	0.00416784633766	0.00231321254163	0.2872421979	0.438093374432	0.21700847536	0.0498334046
n	0.00558226809902	0.0249642478844	0.0111722804552	0.19534627378	0.598854691	0.1406560532	0.02342416494
a	0.0382113455193	0.0747797230751	0.0359988417536	0.067262672	0.364969826	0.3273881228	0.091389448
n	0.0149712060142	0.016754793656	0.0455029704091	0.125842972142	0.14566746414	0.39774056	0.2535200346
r	0.0166405864361	0.0113857147899	0.00639880856737	0.018302076352	0.2056121692	0.474392116	0.2672685242
ù	0.0106121394796	0.0050989760606	0.047948476058	0.02158654455	0.1524052224	0.624782438	0.13756620292
s	0.000957216156255	0.00481374136356	0.00180265774888	0.0165581558428	0.16098460348	0.4225350186	0.39234859
t	0.0112965432732	0.0167645630807	0.010087741366	0.01758445	0.1371728579	0.632644579	0.1744492736
i	0.0430356079013	0.00177626352514	0.0192923945998	0.01477998251	0.11906795714	0.521827898	0.280219922312
k	0.00201831134491	0.00802710536802	0.00216665909322	0.00555861876855	0.07310444377	0.331125186	0.577999658
o	0.0225219848435	0.00576795893725	0.00192234198052	0.006159464126	0.029919524434	0.694973628	0.23873508274
</S>	0.0038483261681	0.0149586292984	0.00383116840167	0.00651336784122	0.072606569608	0.190969598	0.707272342
