 	nella	pasta	vuole	sale	</S>
s	0.785584884754	0.0050905600646	0.0002472424364	0.00237323623784	0.206704116019
t	0.675946689	0.11003872612	0.197471685349	0.0138408340812	0.00270207038888
i	0.6832189608	0.2170547236	0.01856761124	0.0314768803712	0.0496818471029
p	0.5519534414	0.293998223	0.14950796056	0.003836888476	0.000703493380924
à	0.0155560499	0.0813235542	0.2314875634	0.4751512188	0.19648160518
s	0.28224833472	0.479934254	0.21028487586	0.020189566526	0.0073429690608
t	0.1648228092	0.384496785	0.313289864	0.095570617894	0.0418199048268
a	0.02536770048	0.625020691328	0.05402450936	0.280766281028	0.0148208058
t	0.06279036368	0.2157457658	0.603217994	0.07963568302	0.0386101818
è	0.010925432294	0.0561357676	0.42229500134	0.4952635692	0.0153801906
l	0.0353786333608	0.103291057672	0.5567377336	0.22291558376	0.08167700918
i	0.1349330488	0.1199412978	0.40833349	0.255090809	0.08170136214
à	0.0252642326071	0.0673665653744	0.3161131532	0.3938788354	0.1973772046
l	0.0006127100162	0.0175558996104	0.3780170182	0.5447637932	0.05905060608
a	0.00267472890484	0.004717414688	0.055198262	0.752677834	0.18473174068
</S>	0.00332486542272	0.00933189203288	0.091061466344	0.2733052748	0.62297653
