 	la	mia	mia	mamma	mio	padre	mia	mamma	e	mio	padre	eh	non	sono	stati	mai	in	Grecia	</S>
e	0.706845740707	0.010881646828	0.003030177802	0.00246602888	0.004446691277	0.00747952974512	0.00175951126956	0.0060576506324	0.0139954956912	0.01370915731	0.0229302706217	0.00667743725184	0.0107539759934	0.0105228962021	0.0338827676393	0.00885967972012	0.0274885412206	0.0457151554703	0.0624976643553
d	0.447759704528	0.316294114	0.02804613494	0.196555361398	0.0018334717812	0.00302102269428	0.00126818352511	0.000186275753524	3.69885323072e-05	4.8466880468e-05	4.25081491379e-05	0.0002602387505	0.000370037082122	5.0980261738e-06	0.000485399846349	1.39902037125e-05	4.67130856936e-05	0.000237528531881	0.00348876759192
i	0.2677649288	0.3253642008	0.1021261774	0.02469211746	0.032161064598	0.0536569937512	0.0281754289902	0.0191587074069	0.0405771339279	0.00479883745864	0.0121748505883	0.0277129139628	0.0062978110841	0.0048650996484	0.00055901743736	0.0045523285514	0.0413155851886	0.00032808779788	0.00371871824145
k	0.0813744522	0.594619774	0.1505275446	0.143255123612	0.015850542357	0.00435281374902	0.00439578782646	0.00133993761688	0.0031341409771	6.0215613946e-05	0.000153843842214	0.000121450225733	0.000465802472428	9.69747156035e-05	6.68382370635e-06	1.41831229436e-05	6.06407389361e-06	7.91038759067e-06	0.000216769050412
ì	0.1585480277	0.3872335952	0.0994969048	0.0210352039	0.0096844493	0.101149198342	0.0184134272294	0.00990301989362	0.0486601274102	0.00220088378267	0.022971713924	0.0568706585781	0.0103785724701	0.00401157956181	0.000822713507197	0.00129509034965	0.00663469681812	0.00168885555873	0.0390013153094
m	0.021633135528	0.511008212	0.334355972	0.07150320372	0.038940444696	0.0117624132137	0.00639727565492	0.00142793387606	0.00244688427993	0.000199987814267	8.82311219868e-05	4.9412864372e-05	7.00833831496e-05	3.21519624322e-05	5.20460431888e-05	1.72777824142e-06	3.81180212649e-06	1.95876977133e-06	2.50877356687e-05
m	0.0894233972	0.3585578952	0.17704934	0.0459605029	0.03429670054	0.039417148808	0.026420355798	0.0247488239493	0.0553550892502	0.00978518754451	0.0190845645922	0.0564500887651	0.00965861259634	0.00586225181247	0.00211705669978	0.00095218107075	0.0020899864686	0.00454547260395	0.0382253766902
u	0.094331624	0.292849466	0.2111531542	0.0871066928	0.09148011321	0.036238822784	0.037463962304	0.024023217292	0.0169338254337	0.00413138460093	0.00163704746742	0.00302339410908	0.00269220125059	0.00287228191549	0.000296159555138	0.000119577792135	0.00342633420075	4.76529264638e-05	0.0901731061231
e	0.0117389140523	0.1277151084	0.5677662	0.215712291	0.0336626712	0.01344826768	0.0102157424838	0.00161477619332	0.0121453029096	0.000198035787779	0.000817587138872	0.000853802297001	0.00284289638206	0.000623445011718	0.000141766554344	8.20029006883e-05	8.1921384312e-05	3.13637706079e-06	0.00033615229548
m	0.0024397831484	0.02640056166	0.3495658852	0.27772123422	0.0897384922	0.04932823104	0.06068579936	0.03190465557	0.0509168609727	0.00253081618848	0.0126241364224	0.0164699814281	0.00887770324717	0.00300098634427	0.0065409766732	0.00217398115985	0.000439744228571	0.00566889511245	0.00297129669553
