 	devo	pulire	l	albero	</S>
è	0.453716495318	0.0350798106234	0.0354851520174	0.05685425093	0.418864284403
n	0.521576135	0.457835739668	0.0199963048557	0.000273721456288	0.000318086854067
a	0.329196765322	0.42022103	0.17173425484	0.05713042922	0.021717527421
k	0.2096525644	0.7511346842	0.03836256815	0.0005431978972	0.000307047992827
a	0.04069037749	0.3938880628	0.3000009376	0.2237468074	0.04167383496
t	0.206408024547	0.608814704	0.14417509568	0.0323371712524	0.00826502034
à	0.008723805554	0.2316055982	0.21549906348	0.3940610682	0.15011048522
r	0.273380247748	0.2142963986	0.23530434798	0.2483414074	0.02867758898
o	0.0187789207372	0.2434218722	0.2662773	0.3790127196	0.09250918188
t	0.208190409134	0.1770345374	0.4063388789	0.13562802694	0.07280812702
o	0.0411887161283	0.06431179434	0.376369125	0.482635467	0.0354949142
n	0.100516403417	0.0678991516	0.4615333948	0.2346913708	0.135359688
à	0.00168234455292	0.002071819354	0.21627647552	0.6930965852	0.08687275004
r	0.0205885349867	0.124023713325	0.0398605347	0.74368773	0.0718394462
b	0.004824743284	0.0124635685	0.04688136376	0.83514797	0.1006823589
u	0.019815092556	0.04014316698	0.13912626708	0.574756526	0.22615897714
r	0.0379140421994	0.0109117710437	0.0131537715856	0.41392395842	0.524096444
o	0.0975038078471	0.006749764628	0.0432363574	0.745975896	0.1065341648
</S>	0.000722856968562	0.0132861883564	0.013286482882	0.14973526356	0.822969234
