 	non	ha	che	li	aspettiamo	</S>
e	0.65069073113	0.0625087389715	0.0011544652248	0.0011666622262	0.023126437332	0.261352940004
n	0.59399212292	0.1035351388	0.1658844948	0.1354357236	0.00033306534266	0.000819466539324
è	0.14031394248	0.261519237	0.2321953772	0.06878319968	0.0696981546498	0.22749010226
n	0.03492274826	0.5792218	0.2880776356	0.090677749344	0.0009113459458	0.0061886970538
a	0.0226023179889	0.457572468	0.1798560882	0.31501431648	0.0218484185806	0.003106360801
t	0.0300381185743	0.1706724352	0.606642322	0.1834374692	0.0057089084398	0.00350072851216
u	0.0105118910368	0.1859641172	0.404762612	0.1083422126	0.16575475063	0.124664411483
s	0.0236910780185	0.14964732118	0.3273769208	0.4685976004	0.01942150002	0.0112655611174
m	0.002730252468	0.04534383208	0.1239590392	0.2034378682	0.5015060436	0.12302299156
ì	0.12536751612	0.1164955704	0.3413140738	0.0760838368	0.234512152	0.106226854544
n	0.009189160682	0.0315576156486	0.1616332942	0.2569661264	0.2951137298	0.2455400414
o	0.155536791368	0.07628771688	0.0827387632	0.2187730454	0.39629098664	0.0703726552
m	0.0224497084678	0.0419649795099	0.0451757163	0.229413051	0.32872723626	0.33226928984
e	0.0501064054441	0.049374447616	0.0661265834	0.2160301628	0.3256854658	0.2926769348
</S>	0.00158626794128	0.0065217328876	0.0129173784	0.0558279658	0.289916197	0.633230452
