 	li	vestono	i	genitori	</S>
t	0.581840571598	0.0816593273629	0.0036967592566	0.0168984755724	0.315904873612
u	0.73276943688	0.036265916974	0.201184003467	0.027281017583	0.00249963537025
s	0.669956328	0.288433703	0.0362236710023	0.0003102228334	0.00507604743016
i	0.28962935034	0.3071486984	0.18316296136	0.124177031869	0.0958819422728
n	0.194548651	0.609967934	0.135725271863	0.00934082099474	0.0504173141448
d	0.055512969292	0.47398372758	0.06725278276	0.220640521881	0.182609976896
ì	0.253761388	0.5148983446	0.19793638772	0.013612942804	0.01979095555
n	0.09331781088	0.58399035868	0.305044046198	0.007951646426	0.0096961819608
n	0.039114099192	0.37988570912	0.08187485948	0.3858031364	0.1133221956
o	0.20875101456	0.1727685734	0.408805391	0.05435619638	0.155318817552
n	0.0334349323036	0.17142992568	0.554883397556	0.122342780226	0.117908969272
e	0.030738751326	0.169342826616	0.199467510012	0.5574357567	0.04301519102
i	0.0114171664605	0.22372397134	0.52560655798	0.18114733948	0.0581049612608
g	0.00163494874463	0.022335134924	0.49741969554	0.3749645	0.1036457283
e	0.000666542012	0.05156423892	0.21550257516	0.6925670776	0.0396995178
n	0.0146301891398	0.073770765078	0.296276424794	0.36780174	0.247520913
i	0.0014513764542	0.005820560458	0.11263509924	0.841208686	0.03888426558
t	0.00567548324358	0.0377425352602	0.140604622428	0.559211762	0.256765596
ò	0.009037550678	0.0262969866152	0.02127347338	0.888422778	0.0549692234
r	0.0054147501716	0.0227914899903	0.164226057379	0.526661086	0.280906623
i	0.013955412682	0.0082704062	0.19556829406	0.7290545106	0.0531513664
</S>	0.00214997147417	0.0041414005741	0.0286406133449	0.188773494	0.776294518
