 	qualcuno	al	telefono	vuole	sapere	dell	Anna	</S>
k	0.741530617927	0.016774123076	0.0007242332591	0.0056647875842	0.00088107104696	0.00273811520886	0.0144412139131	0.21724579471
a	0.756475992	0.0913986562	0.06687077874	0.0565544539584	0.0209761310026	0.00343869091256	0.00346666440744	0.000818617383
n	0.583369125	0.199671854	0.084300352046	0.0975463208988	0.01287984859	0.0025504457264	0.00244363534795	0.0172384478506
è	0.14723806308	0.373004475848	0.0867729275652	0.179743143322	0.0749771600289	0.106642137533	0.00255527743885	0.0290668068133
n	0.2348290416	0.55577194	0.17455392517	0.0332473927779	0.00104948854228	0.000170187309399	7.79104150906e-05	0.00030009438592
a	0.14141555606	0.46214425306	0.08765824078	0.121190650104	0.0897097078126	0.0225432458783	0.0709569878395	0.00438134768322
s	0.140306436185	0.4755512132	0.30557609086	0.069097510465	0.00775777512783	0.000930366504268	0.000365235364167	0.000415403211226
t	0.04063990856	0.3504379012	0.23868062326	0.07537219854	0.148978819738	0.118567097523	0.0072599632003	0.0200634916142
o	0.0582468785	0.650685922	0.1186568102	0.006972779214	0.03325624261	0.124018367269	6.98444716066e-05	0.0080931679908
t	0.0447656379835	0.41225120552	0.2290909623	0.2453907802	0.04100897986	0.0174394051524	0.00357100370011	0.00648200028852
e	0.0153131636648	0.135541392	0.3335930717	0.15033600248	0.14351128214	0.193255828955	0.004817653053	0.023631613442
l	0.0223360120671	0.124199744589	0.37025083528	0.32726649	0.12471715748	0.02583581797	0.00152689754557	0.00386705578879
è	0.00893154174	0.0741227736	0.32501287094	0.13997767476	0.172467508	0.20049406163	0.02206722288	0.05692631351
f	0.0115550892304	0.0660968273804	0.3509176651	0.332820143	0.18540391112	0.037132729846	0.007735402213	0.00833824044089
o	0.04020670252	0.0832183506	0.2167973252	0.288643138	0.140031273	0.0713540085	0.107748596854	0.052000613442
n	0.00364699975367	0.0315384371484	0.168191140646	0.31183063	0.351184958	0.10370826034	0.0101121952386	0.019787369842
o	0.008311905302	0.01556094456	0.097621697482	0.2568695452	0.232106973	0.19031379164	0.16057125756	0.0386438930293
t	0.00252796551517	0.0199578292895	0.184691329389	0.179015716	0.4003694766	0.1769630654	0.023376081002	0.0130985281616
è	0.00765908749912	0.0103644589706	0.0456251990902	0.22652251004	0.2831254962	0.15873175	0.1873269339	0.080644575372
l	0.0009518300918	0.013530030803	0.118547248453	0.23055278152	0.2030836178	0.181046038	0.19342748434	0.0588609807972
i	0.02079123352	0.04318828732	0.05506334192	0.2314583504	0.2657806876	0.0906818742	0.2624578726	0.03057833979
n	0.00131262776426	0.0135090714163	0.0384343247982	0.096101444936	0.235692791	0.408420908	0.1202226436	0.0863062064
a	0.0055155178496	0.0036980490518	0.0306007228614	0.134544335892	0.1543147818	0.1700399008	0.4560194432	0.045267253948
t	0.000530518695741	0.00600147952813	0.0447886793583	0.04562757221	0.1420547288	0.40962918	0.263911925	0.08745590408
s	0.00773962084854	0.0052121124154	0.0155108805685	0.0934477909534	0.16252699222	0.179174568	0.4901073046	0.04628074648
è	0.011815925674	0.01403487317	0.03223720086	0.0472007655	0.2611361824	0.30673443	0.199590623	0.12725001064
r	4.8687758226e-05	0.00014866593842	0.00110971483926	0.005510681932	0.02956770084	0.2065096116	0.616923248	0.140181696
i	0.0082162816411	0.00346391222	0.00558345714	0.03547335878	0.1058672516	0.2528708964	0.524946397	0.0635784522
à	0.00065240228726	0.00737229076424	0.00536734693979	0.00387388544692	0.0271601609096	0.245182061	0.198274143	0.512117718
t	0.000298364801918	4.308647276e-05	0.00052043234324	0.00719610193814	0.013298967616	0.08101234606	0.792572226	0.1050585098
t	0.0036422134618	0.00346975209249	0.00519144765991	0.0389785548152	0.055852797632	0.1202436486	0.708109098	0.0645125132
i	0.141229483778	0.019155048786	0.030372675454	0.02817519146	0.10373294916	0.181282156	0.2184603592	0.27759213674
n	0.000116978612444	0.000545499035984	0.00129757971694	0.00188060239151	0.0140280482633	0.1551314624	0.226931354	0.600068457
A	0.035118952474	0.014266314334	0.0079799733334	0.00322129687064	0.0270632141726	0.1271538752	0.633097316	0.15209905854
n	1.508532429e-05	0.00023016962123	0.000297252370563	0.00080342078	0.003382799634	0.0467286546	0.764611646	0.183930974
n	0.00183270798112	0.001645733016	0.0021762872	0.004845592745	0.01216803688	0.06061052188	0.798407188	0.1183139163
a	0.0942051177425	0.009288476141	0.010701672632	0.011455657838	0.060265418212	0.1053917054	0.2948336652	0.4138582998
</S>	0.000324698256987	0.000689708204078	0.000312973696217	0.00033109086746	0.0016107102817	0.013959555088	0.2418734254	0.740897864
